Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
1000,0.333,0.333,11.1619,0.531327,7.56561,7.52013,3.28593,0.192604,0.278126,0.409704,
2000,0.3225,0.312,11.1619,1.1328,7.56548,7.52008,3.28642,0.365307,0.649492,0.853201,
3000,0.337,0.366,11.1635,0.551319,7.56613,7.52083,3.2884,0.20219,0.291045,0.422332,
4000,0.33925,0.346,11.1639,1.07603,7.56627,7.52103,3.28926,0.361609,0.566517,0.84032,
5000,0.34,0.343,11.1642,0.986929,7.56622,7.52109,3.29011,0.317412,0.468892,0.808344,
6000,0.331,0.286,11.1659,1.04862,7.56693,7.52186,3.29246,0.394646,0.555384,0.797119,
7000,0.336857,0.372,11.1668,0.518846,7.56713,7.52217,3.29444,0.203639,0.247865,0.407794,
8000,0.3385,0.35,11.1685,0.599076,7.56763,7.52285,3.29751,0.191997,0.332871,0.459594,
9000,0.337667,0.331,11.1682,0.552711,7.56744,7.5227,3.29723,0.171424,0.285684,0.441009,
10000,0.3412,0.373,11.1665,0.603031,7.56662,7.52193,3.29509,0.232697,0.325848,0.450912,
11000,0.341091,0.34,11.1662,0.516491,7.56645,7.5218,3.29463,0.178954,0.253683,0.412775,
12000,0.340333,0.332,11.1659,0.515312,7.56622,7.52164,3.2947,0.137067,0.273155,0.414904,
13000,0.338154,0.312,11.1666,0.55029,7.56637,7.52187,3.29603,0.186349,0.301327,0.421064,
14000,0.335786,0.305,11.1684,0.535833,7.56699,7.52261,3.29895,0.194623,0.280253,0.413155,
15000,0.3334,0.3,11.1681,0.520442,7.56688,7.52253,3.29864,0.177554,0.271086,0.407243,
16000,0.33475,0.355,11.1678,0.518205,7.56678,7.52247,3.29802,0.185426,0.251572,0.413358,
17000,0.335941,0.355,11.1676,0.509794,7.56671,7.52244,3.29727,0.164901,0.265714,0.402609,
18000,0.3365,0.346,11.1687,7.34485,7.5671,7.5229,3.29918,2.33751,3.51421,6.01109,
19000,0.338263,0.37,11.1688,0.542466,7.56701,7.5229,3.29983,0.197766,0.292466,0.411851,
20000,0.33695,0.312,11.1694,0.567257,7.56721,7.52318,3.30084,0.214007,0.296071,0.433963,
21000,0.338571,0.371,11.1706,0.537903,7.56748,7.52358,3.30324,0.199005,0.287115,0.409025,
22000,0.339773,0.365,11.1729,0.585011,7.56824,7.5246,3.30678,0.201547,0.315574,0.449477,
23000,0.339652,0.337,11.1726,0.596031,7.56811,7.52453,3.30642,0.193486,0.331253,0.456166,
24000,0.339875,0.345,11.173,0.596459,7.5681,7.52462,3.30763,0.20701,0.317096,0.460826,
25000,0.33884,0.314,11.172,1.14522,7.56762,7.52417,3.30642,0.377301,0.589481,0.906472,
26000,0.338538,0.331,11.1722,0.546469,7.56773,7.52434,3.30631,0.186261,0.277451,0.432384,
27000,0.341444,0.417,11.1753,0.565513,7.56861,7.52553,3.31216,0.190891,0.288769,0.447189,
28000,0.339679,0.292,11.1758,1.03585,7.56873,7.5257,3.3131,0.343892,0.525992,0.823439,
29000,0.339103,0.323,11.1763,1.18173,7.56888,7.5259,3.31415,0.384374,0.605116,0.939461,
30000,0.339,0.336,11.1762,4.51592,7.5689,7.52595,3.31354,1.30198,2.37494,3.61359,
31000,0.338548,0.325,11.1786,0.593963,7.56956,7.5268,3.3181,0.22591,0.298633,0.461059,
32000,0.337719,0.312,11.1779,0.579374,7.56921,7.52645,3.31732,0.190488,0.292451,0.46245,
33000,0.337818,0.341,11.177,0.569484,7.56892,7.52615,3.31568,0.224731,0.291186,0.434764,
34000,0.338324,0.355,11.1757,0.600879,7.56847,7.52565,3.31334,0.197205,0.303451,0.47967,
35000,0.339229,0.37,11.176,0.577424,7.56853,7.52581,3.31411,0.199627,0.303214,0.449032,
36000,0.338583,0.316,11.1766,0.614249,7.56873,7.52609,3.31499,0.211719,0.333911,0.470085,
37000,0.337973,0.316,11.1761,0.498473,7.56862,7.52593,3.31401,0.15332,0.224188,0.41798,
38000,0.337553,0.322,11.1755,1.05397,7.56833,7.52567,3.31318,0.338032,0.526751,0.848014,
39000,0.336513,0.297,11.1754,1.07499,7.56815,7.52554,3.31335,0.322411,0.523236,0.881971,
40000,0.337375,0.371,11.1746,0.539195,7.56781,7.52521,3.31225,0.167878,0.26164,0.440559,
41000,0.337293,0.334,11.175,0.528533,7.56788,7.52537,3.31322,0.170181,0.250274,0.433299,
42000,0.337762,0.357,11.1748,0.509101,7.56773,7.52527,3.31295,0.17826,0.25194,0.404887,
43000,0.338209,0.357,11.1752,0.554534,7.56797,7.52555,3.31306,0.184835,0.293934,0.432373,
44000,0.338341,0.344,11.1775,0.565861,7.56875,7.5265,3.31699,0.175391,0.299775,0.446735,
