Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
1000,0.361,0.361,11.1277,0.766778,7.56074,7.48588,3.25932,0.227742,0.429141,0.593229,
2000,0.326,0.291,11.128,1.29929,7.5608,7.486,3.25984,0.379761,0.690616,1.03295,
3000,0.327667,0.331,11.1281,0.577505,7.56077,7.48606,3.26029,0.188533,0.307014,0.451343,
4000,0.33475,0.356,11.1281,0.766629,7.56066,7.48603,3.26057,0.2772,0.39095,0.598363,
5000,0.3386,0.354,11.1285,0.61679,7.56069,7.48613,3.26139,0.183466,0.313675,0.498375,
6000,0.341,0.353,11.1285,0.53055,7.56063,7.48615,3.26165,0.20047,0.272841,0.408477,
7000,0.343286,0.357,11.1283,0.569759,7.56044,7.48604,3.26167,0.146579,0.308921,0.45575,
8000,0.35025,0.399,11.1285,2.91814,7.56012,7.48598,3.26331,0.886853,1.72672,2.17887,
9000,0.343111,0.286,11.1288,0.181401,7.56018,7.48608,3.26395,0.0481274,0.0931083,0.148057,
10000,0.3399,0.311,11.1287,0.696603,7.56007,7.48603,3.26381,0.230531,0.384173,0.533407,
11000,0.337364,0.312,11.1293,0.572822,7.56024,7.48627,3.26489,0.188536,0.273563,0.466629,
12000,0.341083,0.382,11.1311,0.805163,7.56064,7.48689,3.26879,0.269376,0.428839,0.625956,
13000,0.338692,0.31,11.1309,0.60096,7.56049,7.48679,3.26877,0.190669,0.319046,0.472238,
14000,0.339357,0.348,11.1301,0.55133,7.56008,7.48644,3.26767,0.182322,0.271193,0.444046,
15000,0.3392,0.337,11.1313,0.689718,7.56051,7.48703,3.26954,0.208991,0.368651,0.544178,
16000,0.339875,0.35,11.1311,0.635674,7.56051,7.48705,3.26874,0.190446,0.329943,0.508871,
17000,0.340824,0.356,11.1328,0.591966,7.56113,7.48781,3.27142,0.200123,0.30893,0.463613,
18000,0.343111,0.382,11.1341,0.604729,7.56148,7.48835,3.27378,0.19562,0.292849,0.491599,
19000,0.342053,0.323,11.1355,0.56808,7.56196,7.48896,3.2758,0.180965,0.27935,0.460359,
20000,0.34175,0.336,11.1351,2.51991,7.56183,7.48887,3.27514,0.871732,1.27823,1.98901,
21000,0.33981,0.301,11.1355,0.378204,7.56189,7.48897,3.27605,0.122488,0.182857,0.307568,
22000,0.338545,0.312,11.1361,0.520347,7.56204,7.48922,3.27727,0.176838,0.235075,0.429219,
23000,0.337957,0.325,11.1371,0.606166,7.56239,7.48966,3.27881,0.195616,0.308229,0.483907,
24000,0.337542,0.328,11.1373,0.738804,7.56253,7.4899,3.27859,0.240675,0.382561,0.584426,
25000,0.33828,0.356,11.136,0.725556,7.56208,7.48944,3.27612,0.232752,0.404385,0.555636,
26000,0.336577,0.294,11.1357,0.373368,7.56183,7.48925,3.27624,0.0944683,0.198213,0.301978,
27000,0.33737,0.358,11.1352,0.675583,7.56152,7.48908,3.27573,0.239262,0.358765,0.520051,
28000,0.337786,0.349,11.1345,0.48051,7.56118,7.48875,3.27469,0.157696,0.258697,0.372958,
29000,0.336586,0.303,11.1349,0.500899,7.56131,7.48896,3.27541,0.166382,0.276272,0.383262,
30000,0.337367,0.36,11.135,2.72157,7.56134,7.48906,3.27544,0.9773,1.50495,2.04621,
31000,0.336645,0.315,11.1359,1.0157,7.56155,7.48936,3.27738,0.381424,0.552076,0.762476,
32000,0.335187,0.29,11.1368,0.511591,7.56185,7.48975,3.27864,0.188324,0.273176,0.389403,
33000,0.334879,0.325,11.138,0.571883,7.56212,7.49018,3.28128,0.170452,0.298407,0.45711,
34000,0.335941,0.371,11.1383,0.630016,7.5622,7.4903,3.2818,0.225719,0.332824,0.484974,
35000,0.338114,0.412,11.1409,0.691417,7.56292,7.49126,3.28676,0.207341,0.367975,0.547414,
36000,0.338083,0.337,11.1414,4.59907,7.56305,7.49148,3.28766,1.37076,2.64709,3.50219,
37000,0.337514,0.317,11.1416,1.0808,7.56308,7.49156,3.2881,0.279042,0.556217,0.883672,
38000,0.337368,0.332,11.1432,2.56537,7.56369,7.49226,3.2904,0.86985,1.2951,2.03647,
39000,0.338769,0.392,11.1441,1.12165,7.56372,7.49247,3.29304,0.369367,0.617774,0.860248,
40000,0.3388,0.34,11.1428,0.650326,7.5632,7.49196,3.29097,0.198273,0.354927,0.507581,
41000,0.338098,0.31,11.143,0.501916,7.5634,7.49215,3.29072,0.151245,0.261202,0.401021,
42000,0.338262,0.345,11.1435,0.513843,7.56344,7.49229,3.2919,0.186977,0.285637,0.384039,
43000,0.338581,0.352,11.1445,0.512851,7.56368,7.49265,3.29413,0.169038,0.269864,0.402015,
44000,0.338864,0.351,11.145,0.830016,7.56367,7.49273,3.29554,0.276819,0.473906,0.622664,
45000,0.3386,0.327,11.1456,0.57856,7.56397,7.49311,3.29616,0.191417,0.318378,0.443539,
46000,0.338935,0.354,11.1456,0.777439,7.56389,7.49318,3.29624,0.249808,0.41599,0.607421,
47000,0.340085,0.393,11.1477,0.620615,7.56446,7.49407,3.30002,0.203337,0.332487,0.482979,
48000,0.339812,0.327,11.147,7.29141,7.56411,7.49372,3.299,1.9836,3.81166,5.89078,
49000,0.339265,0.313,11.1475,0.486711,7.56419,7.4939,3.30034,0.166952,0.254155,0.380026,
50000,0.3395,0.351,11.1483,0.349791,7.5643,7.49414,3.30215,0.100298,0.16373,0.29238,
51000,0.339529,0.341,11.1481,0.611206,7.56405,7.49399,3.30244,0.174485,0.294771,0.506199,
52000,0.339462,0.336,11.1467,0.49879,7.56351,7.49342,3.30005,0.147376,0.257653,0.400858,
53000,0.33966,0.35,11.1462,0.643057,7.56333,7.49326,3.29921,0.213907,0.30665,0.523194,
54000,0.339278,0.319,11.1452,0.432857,7.563,7.49291,3.29755,0.153896,0.218165,0.340713,
55000,0.339509,0.352,11.1452,0.540454,7.56288,7.49288,3.29781,0.185544,0.274013,0.427294,
56000,0.339143,0.319,11.1458,0.490114,7.56315,7.49322,3.29821,0.144632,0.254796,0.392902,
57000,0.338649,0.311,11.1463,0.4514,7.56325,7.49342,3.29948,0.142448,0.244938,0.351391,
