Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
1000,0.269,0.269,11.1336,0.5308,7.52663,7.53016,3.25632,0.183201,0.298441,0.398897,
2000,0.284,0.299,11.1332,0.535371,7.52635,7.52992,3.25604,0.157662,0.277117,0.430083,
3000,0.295333,0.318,11.1335,0.35624,7.52642,7.53006,3.25681,0.112562,0.174018,0.289748,
4000,0.304,0.33,11.1352,0.707096,7.52701,7.53081,3.25949,0.258861,0.392707,0.527974,
5000,0.3064,0.316,11.1358,2.57212,7.52726,7.53111,3.26027,0.662908,1.22535,2.16215,
6000,0.298333,0.258,11.1356,0.503469,7.52711,7.53101,3.26024,0.171918,0.279907,0.381546,
7000,0.309,0.373,11.1359,2.55308,7.52702,7.53103,3.26121,0.762564,1.29391,2.06459,
8000,0.311875,0.332,11.1349,2.57801,7.52642,7.53052,3.26037,0.82744,1.27406,2.08285,
9000,0.314667,0.337,11.1353,0.332996,7.52642,7.53064,3.26136,0.08777,0.185919,0.261948,
10000,0.3187,0.355,11.1354,0.698355,7.52642,7.53069,3.26174,0.268832,0.340919,0.546994,
11000,0.316727,0.297,11.1355,0.480113,7.52643,7.53074,3.26198,0.143839,0.248434,0.384837,
12000,0.321833,0.378,11.1361,0.588042,7.52673,7.53108,3.26266,0.178191,0.26776,0.492286,
13000,0.323231,0.34,11.1361,0.535176,7.5266,7.53102,3.26305,0.178739,0.271078,0.42542,
14000,0.322857,0.318,11.1376,1.12788,7.52727,7.53173,3.26484,0.377373,0.594569,0.881012,
15000,0.326667,0.38,11.1391,0.532279,7.52773,7.53235,3.26734,0.155237,0.254451,0.440996,
16000,0.327,0.332,11.1399,0.745214,7.52797,7.5327,3.26897,0.209182,0.412205,0.584528,
17000,0.328176,0.347,11.1395,0.570504,7.52767,7.53247,3.26859,0.216062,0.282581,0.446026,
18000,0.328167,0.328,11.1406,0.499622,7.52811,7.53299,3.27031,0.153226,0.25425,0.401871,
19000,0.329263,0.349,11.1422,0.438406,7.52873,7.53369,3.27266,0.160292,0.222374,0.342134,
20000,0.3291,0.326,11.1441,0.48866,7.52931,7.53444,3.27622,0.154612,0.242905,0.394818,
21000,0.328333,0.313,11.1455,0.477273,7.5297,7.53497,3.27869,0.175549,0.249463,0.367069,
22000,0.329455,0.353,11.1457,0.706866,7.52977,7.53508,3.27899,0.221802,0.354272,0.570048,
23000,0.328913,0.317,11.1453,0.569372,7.52947,7.53482,3.27883,0.238717,0.304888,0.417422,
24000,0.329167,0.335,11.1482,0.825122,7.53065,7.53614,3.28299,0.340119,0.433195,0.614399,
25000,0.32928,0.332,11.1479,1.05913,7.53041,7.53598,3.283,0.326826,0.567048,0.832708,
26000,0.328462,0.308,11.1474,0.518498,7.53001,7.53566,3.28287,0.203461,0.26894,0.393847,
27000,0.330889,0.394,11.1473,0.707748,7.52983,7.53558,3.28325,0.230023,0.342849,0.574849,
28000,0.330607,0.323,11.1488,0.487791,7.53028,7.53616,3.28584,0.162293,0.261858,0.378195,
29000,0.329724,0.305,11.1486,0.499537,7.53016,7.53606,3.28583,0.171708,0.264783,0.387226,
30000,0.330333,0.348,11.1497,2.43957,7.53045,7.53647,3.28775,0.790154,1.18034,1.98342,
31000,0.331,0.351,11.1511,0.961372,7.53077,7.53695,3.29067,0.326485,0.454657,0.781621,
32000,0.33175,0.355,11.1529,0.723994,7.53114,7.53757,3.29457,0.267132,0.397405,0.543026,
33000,0.332121,0.344,11.154,0.460131,7.53145,7.538,3.29662,0.166666,0.225356,0.364908,
34000,0.334118,0.4,11.1536,0.55609,7.53094,7.53776,3.29711,0.2,0.277575,0.438392,
35000,0.335029,0.366,11.1554,0.89427,7.53137,7.53835,3.30066,0.291151,0.438355,0.723046,
36000,0.334111,0.302,11.156,0.501479,7.53149,7.5385,3.30214,0.157582,0.241067,0.410531,
37000,0.334108,0.334,11.1569,1.18997,7.53184,7.53891,3.30343,0.412911,0.580704,0.953053,
38000,0.333342,0.305,11.1575,2.71782,7.53188,7.53904,3.30499,0.903515,1.48026,2.09262,
39000,0.334051,0.361,11.157,0.482446,7.53173,7.53892,3.30414,0.159598,0.239306,0.387319,
40000,0.3345,0.352,11.1584,0.461638,7.53191,7.53925,3.30757,0.153222,0.224821,0.372946,
41000,0.335146,0.361,11.1606,2.7848,7.53252,7.54011,3.31176,0.978725,1.43988,2.17346,
