Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.001

Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
1000,0.324,0.324,11.0939,0.520819,7.47679,7.51591,3.26841,0.193536,0.284511,0.390959,
2000,0.3315,0.339,11.0938,1.02693,7.47674,7.51588,3.26844,0.362222,0.511323,0.813584,
3000,0.334333,0.34,11.0929,0.464943,7.47626,7.51542,3.26742,0.132894,0.227052,0.383352,
4000,0.3385,0.351,11.0931,1.06433,7.47633,7.51551,3.26775,0.352333,0.619482,0.790512,
5000,0.3398,0.345,11.0931,4.01985,7.47634,7.51554,3.26783,1.36502,2.13869,3.118,
6000,0.335,0.311,11.0931,2.50886,7.47629,7.5155,3.26792,0.817495,1.34957,1.95057,
7000,0.339714,0.368,11.0932,0.571088,7.47632,7.51555,3.26816,0.202385,0.305418,0.438066,
8000,0.344875,0.381,11.0932,0.505716,7.47624,7.5155,3.26822,0.166711,0.258972,0.401111,
9000,0.345556,0.351,11.0931,0.565502,7.47618,7.51546,3.26816,0.194533,0.307151,0.433137,
10000,0.3448,0.338,11.0932,0.558255,7.47623,7.51553,3.26843,0.214824,0.306065,0.414517,
11000,0.342091,0.315,11.0933,0.582721,7.47627,7.51559,3.26853,0.222681,0.320494,0.432736,
12000,0.342583,0.348,11.0934,0.513948,7.47632,7.51564,3.2686,0.179748,0.268579,0.399623,
13000,0.339538,0.303,11.0937,0.539843,7.47641,7.51576,3.26915,0.209917,0.277794,0.412548,
14000,0.341214,0.363,11.0936,0.54636,7.4763,7.51567,3.26904,0.191516,0.294841,0.41821,
15000,0.338667,0.303,11.0935,0.532504,7.47625,7.51563,3.2691,0.170012,0.290904,0.412348,
16000,0.337,0.312,11.094,0.527007,7.47645,7.51585,3.26965,0.145869,0.262046,0.433348,
17000,0.335941,0.319,11.0937,0.54139,7.47628,7.5157,3.26953,0.202283,0.293791,0.407273,
18000,0.336389,0.344,11.0938,0.523009,7.47633,7.51577,3.26955,0.177589,0.2706,0.410824,
19000,0.335053,0.311,11.0936,0.470031,7.47624,7.51569,3.2693,0.150278,0.235699,0.377878,
20000,0.33465,0.327,11.0934,0.525885,7.47615,7.51561,3.26906,0.182564,0.264025,0.416552,
21000,0.334571,0.333,11.0934,0.472816,7.47612,7.5156,3.2691,0.159544,0.246747,0.370427,
22000,0.336091,0.368,11.0931,2.61751,7.47594,7.51545,3.26888,0.841062,1.38308,2.05696,
23000,0.335217,0.316,11.0932,0.542426,7.47597,7.51548,3.26894,0.175609,0.295385,0.419685,
24000,0.336083,0.356,11.093,0.510379,7.47586,7.5154,3.26871,0.180386,0.2624,0.398865,
25000,0.3352,0.314,11.093,0.566696,7.47587,7.51542,3.26872,0.185089,0.329523,0.422257,
26000,0.333808,0.299,11.0934,0.465444,7.47604,7.5156,3.26924,0.169291,0.222805,0.371936,
27000,0.334667,0.357,11.0932,0.516481,7.47596,7.51554,3.26898,0.191185,0.2731,0.394483,
28000,0.334893,0.341,11.0934,0.511451,7.476,7.5156,3.26947,0.158205,0.264639,0.408069,
29000,0.336207,0.373,11.0938,0.528241,7.47616,7.51578,3.26999,0.167443,0.277608,0.417056,
30000,0.3357,0.321,11.094,2.58957,7.47618,7.51582,3.27053,0.771163,1.38213,2.04961,
31000,0.336,0.345,11.094,0.529958,7.47619,7.51583,3.27056,0.197017,0.282704,0.402639,
32000,0.335,0.304,11.0942,0.520936,7.47625,7.51589,3.27079,0.18417,0.272404,0.404044,
