Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002
Training Time, 1478.71s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,2000,0.3325,0.3325,11.1085,2.34887,7.46772,7.5381,3.2876,0.884181,1.21272,1.80685,
4000,4000,0.3275,0.3225,11.1081,0.470706,7.46738,7.5379,3.28744,0.158427,0.258015,0.360407,
6000,6000,0.337667,0.358,11.1067,0.50455,7.46653,7.53719,3.28649,0.176308,0.274529,0.384864,
8000,8000,0.3375,0.337,11.1068,0.297826,7.46638,7.53716,3.28719,0.0994521,0.165076,0.227068,
10000,10000,0.3419,0.3595,11.1077,0.435379,7.46666,7.53761,3.28848,0.143863,0.211789,0.352141,
12000,12000,0.34125,0.338,11.1086,0.448997,7.46698,7.53804,3.28992,0.166567,0.237917,0.342417,
14000,14000,0.338,0.3185,11.1086,0.436688,7.46681,7.53802,3.29035,0.141174,0.22196,0.348568,
16000,16000,0.33725,0.332,11.1081,0.458119,7.46662,7.53787,3.28946,0.146872,0.216438,0.376107,
18000,18000,0.336667,0.332,11.1077,0.507194,7.46648,7.53781,3.28847,0.175028,0.266569,0.394401,
20000,20000,0.33775,0.3475,11.1078,0.282546,7.46649,7.53791,3.28854,0.0859145,0.159259,0.216997,
22000,22000,0.339409,0.356,11.1087,6.75119,7.46675,7.53832,3.29023,2.27126,3.60321,5.23801,
24000,24000,0.336667,0.3065,11.1087,0.52434,7.46659,7.53828,3.29037,0.195251,0.277043,0.40007,
26000,26000,0.335577,0.3225,11.1086,2.56424,7.46665,7.53838,3.28974,0.996673,1.31773,1.96101,
28000,28000,0.335786,0.3385,11.1104,0.450541,7.46708,7.539,3.29354,0.157315,0.233397,0.351802,
30000,30000,0.3352,0.327,11.1113,0.29209,7.46742,7.53946,3.29461,0.101479,0.140376,0.235188,
32000,32000,0.334188,0.319,11.1118,0.45252,7.4676,7.53972,3.29538,0.156044,0.248133,0.344753,
34000,34000,0.336353,0.371,11.1129,0.551364,7.46779,7.54009,3.29788,0.215005,0.289079,0.417384,
36000,36000,0.336417,0.3375,11.1131,0.467039,7.46787,7.54024,3.29802,0.159476,0.261195,0.352804,
38000,38000,0.335447,0.318,11.1147,0.621654,7.46817,7.54076,3.30159,0.215269,0.337169,0.475847,
40000,40000,0.33535,0.3335,11.1169,1.04571,7.46894,7.54168,3.30513,0.372723,0.529727,0.82096,
42000,42000,0.335429,0.337,11.1209,0.486782,7.47,7.54312,3.3128,0.164283,0.258574,0.378295,
44000,44000,0.337614,0.3835,11.1227,0.402757,7.47059,7.5439,3.31589,0.126078,0.209202,0.320238,
46000,46000,0.336413,0.31,11.1222,0.372133,7.4704,7.54382,3.31455,0.117905,0.191379,0.296573,
48000,48000,0.336979,0.35,11.1214,0.544961,7.46991,7.54339,3.31411,0.206283,0.288838,0.413525,
50000,50000,0.33618,0.317,11.1213,0.423902,7.46946,7.54314,3.31534,0.142452,0.205317,0.342411,
52000,52000,0.336942,0.356,11.1199,0.558519,7.46905,7.54281,3.31227,0.174998,0.279448,0.450808,
54000,54000,0.337741,0.3585,11.1207,0.4064,7.4693,7.5431,3.31384,0.139068,0.200449,0.325025,
56000,56000,0.338036,0.346,11.121,0.436064,7.46912,7.5431,3.31535,0.150474,0.227308,0.340353,
58000,58000,0.337569,0.3245,11.1199,0.458267,7.46882,7.54281,3.3127,0.160183,0.25639,0.344404,
60000,60000,0.338233,0.3575,11.1209,0.410624,7.46885,7.54302,3.31563,0.15333,0.197182,0.325916,
62000,62000,0.338258,0.339,11.1217,0.646056,7.4691,7.54336,3.31704,0.201923,0.342323,0.509343,
