Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.064
Training Time,1227.10s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.331031,0.331031,11.1415,0.287269,7.50758,7.54308,3.29718,0.103678,0.142366,0.22695,
4000,128000,0.335211,0.339391,11.1675,0.565544,7.51338,7.55338,3.34807,0.193177,0.300642,0.438334,
6000,192000,0.335094,0.334859,11.2146,0.232425,7.52738,7.57308,3.42853,0.0764197,0.115954,0.186376,
8000,256000,0.335316,0.335984,11.2664,0.355826,7.54165,7.59241,3.52279,0.141978,0.176901,0.274154,
10000,320000,0.335966,0.338562,11.4065,0.345827,7.5891,7.65295,3.73434,0.124141,0.152345,0.284564,
12000,384000,0.336888,0.3415,11.5093,0.298204,7.62705,7.69174,3.8897,0.187639,0.131504,0.19085,
14000,448000,0.337348,0.340109,11.6782,0.436589,7.71796,7.75663,4.08026,0.292516,0.184102,0.266741,
16000,512000,0.338762,0.348656,12.004,0.519083,7.91234,7.89285,4.381,0.315241,0.224511,0.345926,
18000,576000,0.342142,0.369188,12.7098,0.513718,8.3614,8.19648,4.9441,0.469035,0.165952,0.127956,
20000,640000,0.34568,0.377516,13.1603,0.876863,8.74022,8.34792,5.20718,0.665325,0.337186,0.461017,
22000,704000,0.350768,0.401656,14.1297,0.465554,9.42459,8.75148,5.85113,0.403732,0.184148,0.14082,
24000,768000,0.356607,0.420828,14.7815,0.994132,9.98722,8.97801,6.176,0.950801,0.260546,0.128026,
26000,832000,0.361948,0.426047,15.4496,0.692391,10.5833,9.20838,6.47209,0.588229,0.271385,0.244423,
28000,896000,0.367762,0.443344,15.9594,0.560779,11.0796,9.36284,6.65456,0.504434,0.188892,0.156012,
30000,960000,0.372624,0.440688,16.4721,2.72313,11.535,9.54264,6.87111,2.29804,1.04954,1.01633,
32000,1024000,0.376558,0.435562,16.9091,0.515403,12.0234,9.63862,6.96085,0.420157,0.228341,0.192273,
34000,1088000,0.380076,0.436375,17.3603,0.679836,12.4427,9.7805,7.13442,0.613803,0.238922,0.168344,
36000,1152000,0.383741,0.446047,17.6981,0.436003,12.8121,9.85626,7.20612,0.32131,0.203669,0.213019,
38000,1216000,0.387044,0.4465,18.0773,0.288387,13.1818,9.96701,7.32736,0.265065,0.0960152,0.0607386,
40000,1280000,0.390227,0.450703,18.4877,3.56696,13.6446,10.0505,7.38965,3.09575,1.36243,1.13285,
42000,1344000,0.393175,0.452125,18.8716,0.38029,14.0129,10.1672,7.51024,0.334101,0.148551,0.104546,
44000,1408000,0.395862,0.452281,19.1703,0.588805,14.3366,10.2343,7.5646,0.482614,0.273523,0.197383,
46000,1472000,0.398291,0.45175,19.4426,0.454293,14.6056,10.3121,7.63868,0.413621,0.156116,0.104536,
48000,1536000,0.400536,0.452156,19.7537,0.33711,14.9185,10.3961,7.71794,0.300045,0.134081,0.0750899,
50000,1600000,0.402484,0.449234,19.986,0.281467,15.1505,10.4593,7.77848,0.242879,0.099348,0.101801,
52000,1664000,0.404272,0.448969,20.2706,0.145616,15.4373,10.5349,7.84864,0.115091,0.0601594,0.0658711,
54000,1728000,0.405626,0.440828,20.55,4.30899,15.7269,10.6032,7.90808,4.02079,1.34341,0.77196,
56000,1792000,0.407385,0.454891,20.777,0.435035,15.965,10.6564,7.95252,0.41175,0.126698,0.060539,
58000,1856000,0.408807,0.448609,20.9936,0.658923,16.1841,10.7142,8.00068,0.582557,0.248096,0.182361,
60000,1920000,0.410179,0.449969,21.2921,0.178709,16.484,10.7945,8.06894,0.164979,0.0567843,0.038657,
62000,1984000,0.411476,0.450391,21.6832,0.341409,16.9103,10.876,8.11879,0.328149,0.0850775,0.040503,
64000,2048000,0.4126,0.447437,21.9782,0.204293,17.206,10.9519,8.18837,0.161321,0.106178,0.0666117,
66000,2112000,0.413587,0.445188,22.2893,3.44903,17.5139,11.0406,8.25714,3.27026,0.918825,0.597465,
68000,2176000,0.414673,0.450516,22.5257,0.111056,17.7667,11.0945,8.28646,0.102919,0.0350638,0.0226223,
