Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.01
Training Time,8766.53s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.336219,0.336219,11.1716,0.163894,7.54327,7.57755,3.23811,0.0561414,0.0855724,0.128011,
4000,128000,0.33925,0.342281,11.1722,0.152866,7.54336,7.57777,3.23946,0.0538659,0.0848887,0.115154,
6000,192000,0.338839,0.338016,11.1731,0.207452,7.54352,7.5781,3.24133,0.0757102,0.114371,0.155639,
8000,256000,0.339051,0.339687,11.174,0.124557,7.54395,7.57862,3.2423,0.041819,0.0650104,0.0976692,
10000,320000,0.339384,0.340719,11.1749,0.200166,7.54418,7.57897,3.24406,0.0712628,0.107215,0.153274,
12000,384000,0.339065,0.337469,11.175,0.210421,7.544,7.57893,3.24466,0.0649451,0.1127,0.165401,
14000,448000,0.339464,0.341859,11.176,0.145199,7.54443,7.5795,3.24584,0.0493464,0.0755389,0.113761,
16000,512000,0.339055,0.336188,11.1758,0.276349,7.54427,7.57942,3.24562,0.0857749,0.144987,0.219067,
18000,576000,0.339194,0.340313,11.1768,0.224035,7.54472,7.58002,3.24671,0.0757174,0.114681,0.176938,
20000,640000,0.339208,0.339328,11.1788,0.136778,7.54546,7.58095,3.24979,0.0454016,0.0709977,0.107732,
22000,704000,0.339166,0.33875,11.1815,0.124282,7.54664,7.58224,3.25311,0.0441604,0.066305,0.095391,
24000,768000,0.338439,0.330438,11.1841,0.382038,7.54766,7.58342,3.25715,0.110573,0.198467,0.307144,
26000,832000,0.338174,0.335,11.1862,0.295629,7.5486,7.58449,3.25973,0.0985883,0.157387,0.230013,
28000,896000,0.338008,0.335844,11.188,0.118618,7.54929,7.58532,3.26241,0.0464388,0.0620167,0.0898201,
30000,960000,0.338205,0.340969,11.1895,0.113595,7.54982,7.586,3.26478,0.0404739,0.0616268,0.0864165,
32000,1024000,0.338268,0.339203,11.194,0.109523,7.55162,7.58804,3.27104,0.0376047,0.0553379,0.0867114,
34000,1088000,0.338196,0.337047,11.1973,0.344744,7.55299,7.5896,3.27577,0.125323,0.175735,0.268811,
36000,1152000,0.338484,0.343375,11.1977,0.228165,7.55331,7.58992,3.27558,0.0816187,0.120819,0.1755,
38000,1216000,0.338799,0.344484,11.1995,0.346494,7.55391,7.59067,3.27845,0.124343,0.172523,0.273557,
40000,1280000,0.338801,0.338828,11.2027,0.10467,7.55548,7.5924,3.28192,0.0398632,0.057576,0.0777928,
42000,1344000,0.338842,0.339672,11.2084,0.429243,7.55783,7.59503,3.28995,0.124502,0.214281,0.350474,
44000,1408000,0.338506,0.331437,11.2112,0.247396,7.55898,7.59637,3.29357,0.0835399,0.127377,0.194938,
46000,1472000,0.338549,0.3395,11.2156,0.187244,7.56065,7.59831,3.30021,0.0624409,0.0997709,0.145627,
48000,1536000,0.338643,0.340813,11.2187,0.212771,7.56221,7.59999,3.30337,0.0830412,0.115416,0.158287,
50000,1600000,0.33869,0.339812,11.2246,0.169614,7.56481,7.60285,3.31103,0.0647034,0.0926337,0.126496,
52000,1664000,0.338365,0.330234,11.2279,0.196334,7.56645,7.60462,3.31417,0.0633477,0.107263,0.151751,
54000,1728000,0.338345,0.337844,11.2326,0.249131,7.56846,7.60691,3.32049,0.0883355,0.132823,0.191367,
56000,1792000,0.338194,0.334109,11.2359,0.144361,7.56998,7.60857,3.32418,0.049041,0.07381,0.113961,
58000,1856000,0.338211,0.338688,11.244,0.243425,7.5735,7.61238,3.33476,0.0960359,0.130245,0.181849,
60000,1920000,0.33832,0.341484,11.2487,0.201547,7.57582,7.61486,3.33978,0.0756062,0.110688,0.15051,
62000,1984000,0.338275,0.336922,11.2541,0.295724,7.57823,7.61742,3.34671,0.109149,0.156097,0.226215,
64000,2048000,0.338297,0.338969,11.2615,0.137305,7.5814,7.62091,3.35628,0.0500523,0.0701411,0.106901,
66000,2112000,0.338465,0.343844,11.2649,0.182442,7.58322,7.62295,3.35909,0.0717913,0.0999499,0.134688,
68000,2176000,0.338356,0.33475,11.2721,0.335929,7.58635,7.62645,3.36817,0.13252,0.174993,0.254292,
70000,2240000,0.338309,0.336734,11.2803,0.159879,7.5899,7.63039,3.37877,0.0591584,0.0834014,0.122906,
72000,2304000,0.338433,0.342766,11.2894,0.159879,7.59402,7.63483,3.38972,0.0712782,0.0856409,0.114658,
74000,2368000,0.338376,0.336313,11.3003,0.190392,7.59896,7.64018,3.40288,0.0799547,0.10355,0.138325,
76000,2432000,0.338406,0.339531,11.3108,0.321873,7.60369,7.64519,3.41602,0.12018,0.165601,0.248466,
78000,2496000,0.338374,0.337141,11.3214,0.443806,7.60852,7.65046,3.42849,0.176125,0.228832,0.337016,
80000,2560000,0.338378,0.338531,11.3354,0.431358,7.6145,7.65702,3.44682,0.167397,0.223872,0.328525,
82000,2624000,0.338414,0.339875,11.3536,0.349278,7.62249,7.66569,3.46961,0.134208,0.168343,0.275035,
84000,2688000,0.338438,0.339406,11.3657,0.420047,7.62797,7.6714,3.48455,0.153978,0.217922,0.324407,
86000,2752000,0.33836,0.335109,11.3781,0.319412,7.63402,7.67754,3.49844,0.117583,0.161478,0.249246,
88000,2816000,0.33844,0.341859,11.3906,0.335815,7.63991,7.68369,3.51261,0.131689,0.175515,0.254213,
90000,2880000,0.338445,0.338656,11.4047,0.443674,7.64661,7.69059,3.52863,0.183068,0.218647,0.339891,
92000,2944000,0.338446,0.338516,11.4242,0.278239,7.65551,7.70016,3.55157,0.113271,0.139336,0.212537,
94000,3008000,0.338531,0.342438,11.4378,0.544773,7.66214,7.70676,3.56647,0.236551,0.290942,0.395188,
96000,3072000,0.338697,0.346484,11.4572,0.222774,7.67198,7.71685,3.58596,0.112967,0.113545,0.154836,
98000,3136000,0.33869,0.338359,11.4825,0.228928,7.68361,7.7292,3.61515,0.0878791,0.105741,0.183042,
100000,3200000,0.338762,0.342313,11.5036,0.321319,7.69368,7.73944,3.63873,0.127465,0.166196,0.243675,
102000,3264000,0.338761,0.338672,11.5303,0.214248,7.7066,7.75271,3.66755,0.0892905,0.114315,0.157676,
104000,3328000,0.338743,0.337828,11.5611,0.326382,7.72167,7.76799,3.70036,0.134875,0.16391,0.247926,
106000,3392000,0.338772,0.340313,11.6041,0.380799,7.74235,7.78917,3.74691,0.155586,0.183008,0.295481,
108000,3456000,0.338927,0.347125,11.6511,1.04254,7.76564,7.81285,3.7951,0.519122,0.522863,0.737574,
110000,3520000,0.339073,0.346969,11.693,0.679573,7.78604,7.83331,3.83963,0.302758,0.34475,0.501302,
112000,3584000,0.339352,0.354656,11.745,0.806578,7.81181,7.85937,3.89244,0.467327,0.381739,0.535209,
114000,3648000,0.339563,0.351422,11.8021,0.483709,7.83993,7.88735,3.9515,0.276536,0.230848,0.322818,
116000,3712000,0.339826,0.354813,11.8983,0.712935,7.88691,7.93516,4.04959,0.370451,0.354791,0.495142,
118000,3776000,0.340149,0.358859,11.9753,0.855847,7.92474,7.97285,4.12783,0.59816,0.382787,0.477652,
120000,3840000,0.340403,0.355422,12.096,0.569207,7.98471,8.03276,4.24645,0.335497,0.250224,0.38578,
122000,3904000,0.340813,0.365359,12.2272,0.600931,8.05075,8.098,4.37163,0.341786,0.261258,0.419578,
124000,3968000,0.341404,0.3775,12.4139,0.755867,8.14377,8.19074,4.54916,0.492757,0.351179,0.452989,
126000,4032000,0.342181,0.390328,12.6207,0.760676,8.24878,8.29358,4.73886,0.54506,0.311865,0.429277,
128000,4096000,0.342989,0.393906,12.7674,0.733007,8.32675,8.36609,4.86636,0.542767,0.308618,0.384002,
130000,4160000,0.344003,0.408922,12.9068,0.34218,8.40155,8.43478,4.98535,0.287443,0.136382,0.125951,
132000,4224000,0.34511,0.417016,13.0091,0.505176,8.45954,8.48445,5.06823,0.429938,0.181296,0.193618,
134000,4288000,0.346309,0.425484,13.1357,1.13286,8.5288,8.54662,5.17326,0.697123,0.481388,0.752108,
136000,4352000,0.347447,0.423703,13.2455,1.36513,8.58978,8.60041,5.2623,1.03112,0.596041,0.667148,
138000,4416000,0.348675,0.432141,13.3698,0.920443,8.65869,8.66107,5.36322,0.661739,0.437374,0.466927,
140000,4480000,0.349942,0.437391,13.4965,1.07151,8.7278,8.72373,5.46609,0.878421,0.423153,0.444363,
142000,4544000,0.351196,0.438937,13.639,1.52607,8.80479,8.79452,5.58164,1.24808,0.691912,0.540762,
144000,4608000,0.352498,0.444969,13.7545,0.984134,8.87014,8.85078,5.67181,0.786652,0.463977,0.366637,
146000,4672000,0.353837,0.450266,13.8795,0.79598,8.93954,8.91249,5.76996,0.534213,0.351677,0.473839,
148000,4736000,0.355106,0.447703,13.9975,0.374563,9.00555,8.97084,5.86131,0.284323,0.157816,0.185881,
150000,4800000,0.356341,0.447781,14.0738,0.7333,9.05094,9.0072,5.91796,0.527352,0.317159,0.398797,
152000,4864000,0.357679,0.457984,14.1852,0.430331,9.11355,9.06252,6.00289,0.34572,0.179347,0.183022,
154000,4928000,0.359025,0.461328,14.2782,0.540159,9.16684,9.1084,6.07221,0.46693,0.224811,0.152344,
156000,4992000,0.360246,0.454234,14.3328,0.699629,9.20114,9.13375,6.11078,0.58455,0.321916,0.210124,
158000,5056000,0.361523,0.461141,14.3966,1.16602,9.23999,9.16425,6.15631,0.879193,0.501301,0.579072,
160000,5120000,0.36279,0.462938,14.4782,1.08748,9.28716,9.20452,6.21648,0.973989,0.376025,0.304241,
162000,5184000,0.364057,0.465406,14.5405,0.479509,9.32539,9.23446,6.26015,0.409237,0.171908,0.181389,
164000,5248000,0.365376,0.472203,14.6351,0.608517,9.37928,9.28187,6.32955,0.464182,0.250803,0.303192,
166000,5312000,0.366664,0.472281,14.6973,1.93077,9.41704,9.31195,6.37327,1.63183,0.831467,0.611267,
168000,5376000,0.36791,0.471344,14.7536,1.06356,9.45178,9.33909,6.41195,0.975212,0.351637,0.237663,
170000,5440000,0.369093,0.468406,14.7987,0.469863,9.4809,9.36037,6.44177,0.366662,0.202394,0.212995,
172000,5504000,0.37027,0.470328,14.8522,0.370704,9.51382,9.38631,6.47869,0.326455,0.13026,0.117816,
174000,5568000,0.371466,0.474344,14.8876,0.709881,9.53831,9.40234,6.50064,0.51214,0.334505,0.360207,
176000,5632000,0.37262,0.473016,14.9383,0.684213,9.57181,9.42587,6.53354,0.601709,0.278771,0.168465,
178000,5696000,0.3737,0.468734,14.9733,1.69572,9.59703,9.44121,6.55441,1.55251,0.590664,0.341051,
180000,5760000,0.374793,0.472031,15.0234,0.832151,9.62849,9.46535,6.58811,0.750176,0.297066,0.203624,
182000,5824000,0.37588,0.473766,15.0687,0.910404,9.65723,9.48698,6.61822,0.785265,0.380632,0.259449,
184000,5888000,0.376965,0.475641,15.0929,0.613391,9.67555,9.49732,6.63181,0.515723,0.215696,0.252496,
186000,5952000,0.378043,0.47725,15.1239,1.48016,9.69915,9.51041,6.64909,1.29008,0.604927,0.400768,
188000,6016000,0.379035,0.471344,15.1701,0.453321,9.72858,9.5325,6.67969,0.419985,0.139461,0.0983053,
190000,6080000,0.380023,0.472813,15.2066,1.03367,9.75696,9.54759,6.6996,0.888465,0.397735,0.347726,
192000,6144000,0.380997,0.473563,15.2516,0.887392,9.78703,9.56864,6.72807,0.756781,0.364674,0.285936,
194000,6208000,0.382005,0.478797,15.2901,1.43474,9.81252,9.58652,6.75282,1.25339,0.572778,0.39928,
196000,6272000,0.383024,0.481859,15.3367,1.93619,9.84365,9.60785,6.78273,1.62559,0.820036,0.65867,
198000,6336000,0.383951,0.474828,15.3848,1.80819,9.87435,9.63061,6.81476,1.66192,0.627763,0.336888,
200000,6400000,0.384877,0.476531,15.4289,1.51128,9.90442,9.65076,6.8423,1.24481,0.623353,0.588105,
202000,6464000,0.385866,0.484719,15.4745,0.666837,9.93449,9.67189,6.87167,0.532123,0.301642,0.265573,
204000,6528000,0.386827,0.483922,15.5328,0.355435,9.9707,9.70014,6.91078,0.312778,0.104501,0.132602,
206000,6592000,0.387708,0.477609,15.5703,0.26696,9.99637,9.71718,6.93416,0.227552,0.109998,0.0859543,
208000,6656000,0.388614,0.481891,15.6072,0.469475,10.0204,9.73464,6.95798,0.403814,0.18593,0.150903,
210000,6720000,0.389543,0.486125,15.653,1.35936,10.0491,9.75677,6.98829,1.19011,0.53582,0.379974,
212000,6784000,0.390423,0.482891,15.7018,1.64677,10.079,9.7808,7.02123,1.3943,0.619011,0.62018,
214000,6848000,0.391298,0.483984,15.7319,0.86572,10.1015,9.79367,7.03834,0.728251,0.338517,0.323306,
216000,6912000,0.392256,0.494844,15.7781,1.16254,10.1321,9.81535,7.06748,0.991488,0.510319,0.328658,
218000,6976000,0.393127,0.487141,15.8148,1.03444,10.1593,9.8312,7.08825,0.924743,0.366425,0.283986,
220000,7040000,0.394018,0.491109,15.8553,0.960811,10.1862,9.85005,7.11392,0.791544,0.411155,0.357167,
222000,7104000,0.394791,0.479797,15.8907,0.73296,10.2109,9.86619,7.13519,0.699278,0.180356,0.12535,
224000,7168000,0.395595,0.484859,15.9283,0.477087,10.2363,9.88363,7.1585,0.407344,0.206419,0.13811,
226000,7232000,0.396411,0.487844,15.9681,0.266435,10.2621,9.90263,7.18386,0.255964,0.0633702,0.0381321,
228000,7296000,0.397256,0.492766,16.0004,0.681483,10.2862,9.91661,7.20185,0.60146,0.252037,0.197844,
230000,7360000,0.398046,0.488016,16.0406,0.633186,10.3124,9.93576,7.22746,0.556169,0.255623,0.162043,
232000,7424000,0.398884,0.495344,16.0845,1.38816,10.3428,9.95595,7.25365,1.2135,0.552059,0.386817,
234000,7488000,0.399622,0.485203,16.1234,0.352042,10.368,9.97459,7.2786,0.300642,0.130644,0.128376,
236000,7552000,0.400359,0.486562,16.1604,0.557796,10.3919,9.99243,7.3021,0.485614,0.209363,0.17743,
238000,7616000,0.401182,0.498328,16.1971,0.574833,10.4155,10.01,7.32566,0.509829,0.195418,0.179775,
240000,7680000,0.401919,0.489625,16.2204,1.14195,10.4352,10.0191,7.33651,0.906479,0.508455,0.473101,
242000,7744000,0.402604,0.484766,16.2571,0.27049,10.4603,10.036,7.35889,0.235642,0.0997423,0.0876887,
244000,7808000,0.403308,0.4885,16.3039,0.222478,10.49,10.0588,7.38906,0.187429,0.102065,0.0628472,
246000,7872000,0.404037,0.492969,16.329,2.02728,10.5095,10.0692,7.40249,1.78692,0.790935,0.539641,
248000,7936000,0.40472,0.488781,16.3636,1.1052,10.5328,10.0854,7.42372,0.91832,0.477705,0.387241,
250000,8000000,0.405396,0.48925,16.3891,0.899526,10.5518,10.0965,7.43799,0.717846,0.346226,0.4171,
252000,8064000,0.406073,0.490594,16.4134,0.705276,10.5698,10.107,7.45161,0.635536,0.23086,0.200529,
254000,8128000,0.406804,0.498984,16.4392,0.863762,10.5888,10.1182,7.46624,0.76441,0.336136,0.220852,
256000,8192000,0.407495,0.495281,16.4801,0.565951,10.6159,10.1378,7.49156,0.491982,0.201517,0.194022,
258000,8256000,0.408134,0.489859,16.5087,0.722821,10.636,10.1508,7.50826,0.659927,0.232976,0.180802,
260000,8320000,0.408801,0.494828,16.5364,0.300182,10.6578,10.1624,7.52267,0.274462,0.0991931,0.0702875,
262000,8384000,0.409457,0.494797,16.5763,1.25631,10.6845,10.1811,7.54723,1.08859,0.487812,0.394117,
264000,8448000,0.410121,0.497031,16.6073,0.782773,10.7071,10.1947,7.56484,0.660724,0.287072,0.306212,
266000,8512000,0.410757,0.494719,16.6364,0.503361,10.7285,10.2075,7.5813,0.421516,0.192362,0.196707,
268000,8576000,0.411346,0.489719,16.6739,0.226658,10.7527,10.2256,7.60508,0.185981,0.0948499,0.0882512,
270000,8640000,0.411962,0.4945,16.7042,0.453045,10.7742,10.2393,7.62254,0.352241,0.190146,0.212181,
272000,8704000,0.41262,0.501422,16.7342,0.381931,10.7952,10.253,7.64026,0.342444,0.131524,0.106324,
274000,8768000,0.413264,0.500828,16.7657,0.931807,10.8185,10.2668,7.65779,0.771993,0.390048,0.346631,
276000,8832000,0.413882,0.498531,16.7901,1.22128,10.84,10.276,7.66854,1.0503,0.482238,0.394769,
278000,8896000,0.414494,0.499078,16.8194,0.40122,10.8626,10.2884,7.68409,0.360341,0.140235,0.10708,
280000,8960000,0.415121,0.502219,16.8563,0.82544,10.8873,10.3058,7.70663,0.717578,0.317004,0.25679,
282000,9024000,0.415733,0.501328,16.8849,1.9987,10.907,10.3191,7.72372,1.61762,0.889326,0.766298,
284000,9088000,0.416328,0.500313,16.918,0.819166,10.9292,10.3347,7.7437,0.709577,0.325319,0.248397,
286000,9152000,0.416908,0.499281,16.945,0.849975,10.949,10.3466,7.75884,0.795869,0.259835,0.146752,
288000,9216000,0.417542,0.508172,16.9631,0.115265,10.9637,10.3539,7.76783,0.0909227,0.0513098,0.0488511,
290000,9280000,0.41812,0.501328,16.9954,0.0598457,10.9845,10.3696,7.78819,0.0529485,0.0195115,0.0199315,
292000,9344000,0.418671,0.498625,17.0264,0.372729,11.0036,10.385,7.80834,0.336633,0.125936,0.0987174,
294000,9408000,0.419196,0.495859,17.0478,0.509891,11.0189,10.3946,7.82081,0.453601,0.194708,0.127764,
296000,9472000,0.419775,0.504859,17.08,0.529947,11.0414,10.4093,7.83954,0.491129,0.163681,0.113337,
298000,9536000,0.420346,0.504891,17.1032,0.516066,11.0589,10.4194,7.85214,0.391141,0.19488,0.274509,
300000,9600000,0.420883,0.500859,17.1272,5.44516,11.0766,10.43,7.86537,4.68409,2.15819,1.7468,
302000,9664000,0.421402,0.499203,17.1548,0.424385,11.0947,10.4433,7.88242,0.349906,0.182737,0.155807,
304000,9728000,0.421974,0.508359,17.18,1.67391,11.1126,10.4547,7.89682,1.46397,0.646704,0.490458,
306000,9792000,0.422527,0.506547,17.2012,0.244837,11.128,10.4643,7.90878,0.204901,0.110692,0.0755506,
308000,9856000,0.423047,0.502594,17.2297,0.766831,11.1486,10.4771,7.92469,0.698744,0.260191,0.17913,
310000,9920000,0.423563,0.503078,17.2566,0.888229,11.1676,10.4894,7.94021,0.790655,0.336634,0.224707,
312000,9984000,0.424092,0.506031,17.2875,0.392767,11.1882,10.5041,7.959,0.329466,0.156979,0.145176,
314000,10048000,0.424635,0.509375,17.3232,0.40812,11.2117,10.5212,7.98086,0.343378,0.177122,0.131458,
316000,10112000,0.425136,0.503797,17.3503,0.268963,11.2314,10.5335,7.99605,0.216843,0.105237,0.119353,
318000,10176000,0.425639,0.505078,17.3772,0.219352,11.2496,10.5461,8.01215,0.182178,0.0922504,0.0801026,
320000,10240000,0.426162,0.509313,17.4002,0.923931,11.2677,10.5559,8.02372,0.792353,0.399791,0.256892,
322000,10304000,0.426671,0.508219,17.4237,0.601057,11.284,10.5667,8.0374,0.536182,0.214131,0.167111,
324000,10368000,0.427196,0.51175,17.4496,0.351799,11.3016,10.5791,8.05281,0.291547,0.13597,0.14239,
326000,10432000,0.427696,0.508703,17.4691,0.205141,11.3157,10.5879,8.06363,0.182247,0.0711249,0.0617264,
328000,10496000,0.428198,0.509875,17.4941,0.639738,11.3328,10.5996,8.07844,0.592866,0.212024,0.113227,
330000,10560000,0.428661,0.504703,17.5136,0.744613,11.3467,10.6085,8.08942,0.663114,0.269285,0.205462,
332000,10624000,0.429154,0.510406,17.5505,0.216932,11.3706,10.6265,8.11214,0.179037,0.0775836,0.0947949,
334000,10688000,0.429617,0.506562,17.5671,0.921562,11.3847,10.6331,8.11985,0.819486,0.349977,0.235022,
336000,10752000,0.430036,0.499969,17.5886,0.258642,11.3998,10.643,8.13221,0.20933,0.100205,0.114173,
