Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002
Training Time, 11973.9s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.339922,0.339922,11.0738,0.151116,7.49482,7.4849,3.22987,0.0523501,0.0838349,0.114311,
4000,128000,0.337977,0.336031,11.074,0.112253,7.4949,7.48499,3.23013,0.0358178,0.0582958,0.0889908,
6000,192000,0.339682,0.343094,11.0739,0.133691,7.49489,7.48498,3.23015,0.0456746,0.0723737,0.102708,
8000,256000,0.339754,0.339969,11.074,0.232013,7.49492,7.48502,3.23026,0.0806997,0.130103,0.17433,
10000,320000,0.34025,0.342234,11.0742,0.461015,7.495,7.4851,3.23046,0.165593,0.244389,0.354101,
12000,384000,0.339531,0.335938,11.0741,0.447591,7.49495,7.48506,3.23044,0.133827,0.234535,0.356962,
14000,448000,0.33973,0.340922,11.0745,0.187177,7.49513,7.48526,3.23093,0.0646946,0.101604,0.143271,
16000,512000,0.339256,0.335938,11.0747,0.259266,7.4952,7.48533,3.23116,0.0894261,0.138778,0.199906,
18000,576000,0.339309,0.339734,11.0747,0.217135,7.49519,7.48534,3.23128,0.0757312,0.1178,0.165938,
20000,640000,0.340089,0.347109,11.0746,0.143298,7.49515,7.48529,3.2312,0.0539829,0.078452,0.107077,
22000,704000,0.339932,0.338359,11.0746,0.103142,7.49511,7.48527,3.23116,0.0372585,0.0608798,0.0744568,
24000,768000,0.340012,0.340891,11.0748,0.34695,7.49521,7.48537,3.23144,0.123105,0.184522,0.266779,
26000,832000,0.340334,0.344203,11.075,0.232405,7.49528,7.48545,3.23163,0.0888843,0.12786,0.172521,
