HighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.03
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.336922,0.336922,11.152,0.177046,7.53655,7.54104,3.27121,0.0629802,0.0974502,0.133724,
4000,128000,0.336711,0.3365,11.1518,0.109473,7.53632,7.54092,3.27139,0.0354271,0.0551673,0.0876684,
6000,192000,0.338328,0.341563,11.1524,0.176474,7.53637,7.54113,3.27272,0.0571469,0.0891958,0.141143,
8000,256000,0.339555,0.343234,11.1531,0.129946,7.53663,7.54149,3.27356,0.0521113,0.0745458,0.0928082,
10000,320000,0.339459,0.339078,11.1531,0.209607,7.53638,7.54142,3.27452,0.0666422,0.100977,0.171165,
12000,384000,0.339477,0.339563,11.1545,0.127038,7.53696,7.5421,3.2764,0.0455854,0.0675418,0.0974617,
14000,448000,0.338721,0.334188,11.1543,0.153834,7.53686,7.54208,3.27598,0.0468423,0.0779146,0.124097,
16000,512000,0.338656,0.338203,11.1553,0.150408,7.53714,7.54251,3.27756,0.0514515,0.0753657,0.119563,
18000,576000,0.339306,0.3445,11.1561,0.155003,7.53741,7.54294,3.27881,0.0559708,0.0811922,0.119587,
20000,640000,0.339342,0.339672,11.1581,0.295183,7.53817,7.54386,3.28156,0.106215,0.151168,0.230216,
22000,704000,0.339274,0.338594,11.1599,0.152993,7.53891,7.54474,3.28406,0.0558516,0.0792562,0.118346,
