LowEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.004
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.333797,0.333797,11.1464,0.138976,7.56266,7.50937,3.26455,0.052073,0.0751635,0.104657,
4000,128000,0.335445,0.337094,11.1468,0.115703,7.56271,7.50954,3.26552,0.0401011,0.0588402,0.0911975,
6000,192000,0.335542,0.335734,11.1473,0.144113,7.56282,7.50976,3.26648,0.0502281,0.0792018,0.109421,
8000,256000,0.335645,0.335953,11.1479,0.181113,7.56306,7.51008,3.26724,0.0559001,0.0886367,0.147718,
10000,320000,0.336762,0.341234,11.1494,0.101083,7.56373,7.51085,3.26894,0.0381311,0.0566787,0.074507,
12000,384000,0.338419,0.346703,11.1506,0.278165,7.56418,7.51147,3.27062,0.0922879,0.144858,0.218804,
14000,448000,0.339096,0.343156,11.1524,0.43427,7.56502,7.51244,3.27272,0.144727,0.206998,0.353265,
16000,512000,0.339322,0.340906,11.154,0.159105,7.56569,7.51325,3.27476,0.0581416,0.0855274,0.120909,
18000,576000,0.338925,0.33575,11.1562,0.172281,7.56648,7.5142,3.27808,0.0636361,0.0844815,0.135993,
20000,640000,0.338544,0.335109,11.158,0.208853,7.5672,7.51509,3.28054,0.076301,0.109098,0.160921,
22000,704000,0.338293,0.335781,11.1609,0.186956,7.56825,7.51634,3.28498,0.0714694,0.0991059,0.141502,
24000,768000,0.338379,0.339328,11.1614,0.199287,7.56854,7.51672,3.2852,0.0693528,0.100654,0.157398,
26000,832000,0.338172,0.335687,11.1646,0.173017,7.56984,7.51832,3.28947,0.0598676,0.0918428,0.133849,
28000,896000,0.338066,0.336688,11.1663,0.129175,7.57028,7.51894,3.29284,0.0492677,0.0689067,0.0975236,
30000,960000,0.338039,0.337656,11.1685,0.196713,7.57123,7.52003,3.29561,0.0773565,0.109016,0.144317,
