MedEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.01
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.344375,0.344375,11.1664,0.22965,7.55791,7.52836,3.29999,0.0841907,0.133935,0.16647,
4000,128000,0.341102,0.337828,11.1674,0.199846,7.55826,7.52885,3.30135,0.0638957,0.105602,0.157175,
6000,192000,0.340531,0.339391,11.1691,0.119147,7.55891,7.52966,3.30389,0.0382909,0.0623035,0.0940647,
8000,256000,0.33834,0.331766,11.1711,0.192895,7.55966,7.53059,3.30692,0.0626066,0.0967502,0.154688,
10000,320000,0.339016,0.341719,11.1712,0.137075,7.55965,7.53066,3.3071,0.0461348,0.0725593,0.106754,
12000,384000,0.338315,0.334812,11.172,0.142401,7.55997,7.53111,3.30802,0.0535257,0.0814205,0.103845,
14000,448000,0.336964,0.328859,11.1739,0.203642,7.56071,7.53203,3.31071,0.0635301,0.11101,0.158463,
16000,512000,0.337502,0.341266,11.1762,0.322835,7.56153,7.5331,3.31419,0.109357,0.176069,0.247514,
18000,576000,0.33749,0.337391,11.1796,0.539588,7.56283,7.53462,3.31898,0.173616,0.280514,0.426996,
20000,640000,0.337884,0.341437,11.1814,0.645847,7.5636,7.53559,3.32131,0.202607,0.364722,0.492998,
22000,704000,0.337804,0.337,11.182,0.12941,7.56387,7.53593,3.32179,0.0441972,0.0640568,0.103393,
24000,768000,0.338232,0.342937,11.182,0.213444,7.56376,7.53597,3.32204,0.0778171,0.120261,0.158241,
26000,832000,0.338093,0.336422,11.1829,0.319342,7.56411,7.53655,3.32307,0.119018,0.168828,0.243539,
28000,896000,0.338066,0.337719,11.1863,0.211424,7.56548,7.53819,3.32765,0.0738416,0.112508,0.163062,
30000,960000,0.338409,0.343219,11.1893,0.333187,7.56666,7.53955,3.33185,0.113751,0.184828,0.25281,
32000,1024000,0.338507,0.339969,11.191,0.219932,7.56752,7.54053,3.33348,0.0688254,0.113976,0.175051,
34000,1088000,0.338333,0.335547,11.1921,0.205463,7.56795,7.54112,3.33467,0.0630737,0.101182,0.167329,
36000,1152000,0.338466,0.340734,11.1946,0.181563,7.56904,7.54239,3.33779,0.0671004,0.097991,0.137333,
38000,1216000,0.338643,0.341828,11.1958,0.246303,7.56981,7.54318,3.33845,0.0823453,0.135057,0.188796,
40000,1280000,0.338673,0.33925,11.1967,0.13828,7.57028,7.54377,3.33879,0.0566356,0.0789645,0.098378,
42000,1344000,0.338882,0.343062,11.1989,0.282853,7.57133,7.54496,3.34114,0.100852,0.152286,0.215972,
44000,1408000,0.338772,0.336453,11.2008,0.142265,7.57218,7.54595,3.34341,0.0520495,0.079106,0.106172,
46000,1472000,0.338761,0.338516,11.2054,0.270419,7.57408,7.54812,3.34964,0.0894837,0.13838,0.214407,
48000,1536000,0.338818,0.340141,11.21,0.1694,7.57598,7.5504,3.35577,0.057196,0.0920207,0.130219,
50000,1600000,0.338776,0.337766,11.2151,0.132993,7.57821,7.55284,3.36225,0.0494197,0.0732001,0.0994316,
52000,1664000,0.338558,0.333109,11.2187,0.24809,7.57985,7.55463,3.36638,0.0893924,0.13653,0.186862,
54000,1728000,0.338631,0.340531,11.223,0.151107,7.58168,7.55666,3.37219,0.0566582,0.0859226,0.110637,
56000,1792000,0.338522,0.335562,11.2306,0.193965,7.58491,7.56042,3.38178,0.070171,0.108328,0.144787,
58000,1856000,0.338387,0.334609,11.2363,0.219707,7.58741,7.56305,3.38896,0.0829037,0.120789,0.163732,
60000,1920000,0.338608,0.345031,11.2444,0.74029,7.59074,7.56696,3.39988,0.263481,0.401074,0.563689,
62000,1984000,0.338436,0.333281,11.2506,0.129882,7.59368,7.57014,3.40657,0.0454492,0.0697509,0.0996928,
64000,2048000,0.338346,0.335547,11.2587,0.20738,7.59747,7.57425,3.41578,0.0719869,0.118847,0.153948,
66000,2112000,0.338314,0.337297,11.2669,0.371399,7.60118,7.57817,3.42594,0.136113,0.198628,0.282767,
68000,2176000,0.338419,0.341859,11.2711,0.151289,7.6034,7.58042,3.42989,0.0545724,0.0840489,0.113341,
70000,2240000,0.338446,0.339375,11.2784,0.170876,7.60677,7.5839,3.43843,0.0636984,0.0897939,0.130683,
72000,2304000,0.33858,0.343266,11.2829,0.174423,7.60927,7.58638,3.44238,0.0600094,0.0896308,0.137071,
74000,2368000,0.338583,0.338703,11.2938,0.164561,7.6141,7.59153,3.45616,0.0632461,0.0862087,0.125093,
76000,2432000,0.338515,0.335984,11.304,0.404338,7.61876,7.59655,3.46814,0.143018,0.209861,0.314632,
78000,2496000,0.338536,0.339328,11.3144,0.166192,7.62355,7.60173,3.47989,0.0744195,0.0897888,0.118404,
80000,2560000,0.338658,0.343437,11.3235,0.255703,7.62837,7.60647,3.48886,0.0973024,0.139215,0.191142,
82000,2624000,0.338824,0.345437,11.3335,0.182476,7.6334,7.61174,3.49872,0.070773,0.0967351,0.13759,
84000,2688000,0.338987,0.345672,11.3484,0.238357,7.64039,7.61926,3.51526,0.095584,0.131684,0.174176,
86000,2752000,0.339039,0.341234,11.3613,0.474029,7.64659,7.62577,3.52931,0.174824,0.261473,0.354643,
88000,2816000,0.339161,0.344406,11.3769,0.38309,7.65406,7.6337,3.5461,0.180746,0.202171,0.270584,
90000,2880000,0.33917,0.339578,11.3937,0.241753,7.66205,7.64227,3.56458,0.100418,0.131011,0.176627,
92000,2944000,0.339215,0.34125,11.4123,0.258928,7.67108,7.65179,3.58404,0.101285,0.130024,0.199696,
94000,3008000,0.339195,0.338266,11.4322,0.271749,7.68061,7.66185,3.6056,0.108139,0.140332,0.20606,
96000,3072000,0.339395,0.348781,11.4521,0.338217,7.69032,7.67177,3.62692,0.134423,0.169806,0.259782,
98000,3136000,0.339433,0.341266,11.4743,0.199365,7.70088,7.68296,3.65068,0.0887543,0.107879,0.142237,
100000,3200000,0.339463,0.340953,11.5003,0.299532,7.71361,7.69615,3.67793,0.132506,0.156371,0.218426,
102000,3264000,0.339475,0.340078,11.5254,0.324512,7.72585,7.70874,3.70426,0.140506,0.163733,0.2424,
104000,3328000,0.339601,0.346016,11.5588,0.477901,7.7417,7.72512,3.74101,0.190868,0.259383,0.353099,
106000,3392000,0.339737,0.346812,11.5903,0.870341,7.75724,7.74072,3.77376,0.460787,0.439768,0.593105,
108000,3456000,0.339806,0.343469,11.6261,0.386016,7.77453,7.75845,3.81186,0.198646,0.207109,0.258173,
110000,3520000,0.339838,0.341531,11.6651,0.232339,7.79369,7.77789,3.8518,0.118558,0.115343,0.16316,
112000,3584000,0.33986,0.341094,11.7116,0.63557,7.81627,7.80106,3.9001,0.368278,0.313518,0.412343,
114000,3648000,0.340022,0.349063,11.7701,0.622586,7.84493,7.83031,3.95956,0.364268,0.310342,0.398258,
116000,3712000,0.340229,0.352047,11.8379,0.361478,7.87781,7.864,4.02919,0.17413,0.190845,0.25283,
118000,3776000,0.340552,0.359281,11.9096,0.295846,7.9136,7.89983,4.09965,0.176578,0.140481,0.191337,
120000,3840000,0.340803,0.355609,12.0148,0.53484,7.96548,7.95242,4.20301,0.301288,0.266751,0.352312,
122000,3904000,0.341099,0.358875,12.1298,0.402581,8.02283,8.00998,4.31338,0.183565,0.176874,0.311594,
124000,3968000,0.341641,0.374719,12.2741,0.693844,8.09456,8.08218,4.45082,0.390724,0.328539,0.469911,
126000,4032000,0.342333,0.385234,12.4705,1.10018,8.19295,8.18057,4.63325,0.587186,0.474209,0.800456,
128000,4096000,0.343114,0.392266,12.6775,0.988284,8.29722,8.28467,4.82081,0.690355,0.441481,0.552457,
130000,4160000,0.344103,0.407453,12.8877,0.945151,8.40386,8.39042,5.00695,0.705848,0.451298,0.437516,
132000,4224000,0.345232,0.418594,13.0815,1.36973,8.50399,8.48788,5.17336,1.07686,0.518905,0.668796,
134000,4288000,0.346534,0.432484,13.2022,0.951363,8.57059,8.54682,5.27212,0.761999,0.365098,0.437208,
136000,4352000,0.347854,0.436297,13.3615,0.589749,8.65632,8.62584,5.40293,0.439789,0.212453,0.330535,
138000,4416000,0.349307,0.448078,13.4517,0.670069,8.70856,8.66904,5.47337,0.521411,0.286015,0.308736,
140000,4480000,0.350738,0.449516,13.5969,0.93471,8.78715,8.74133,5.59016,0.680578,0.299598,0.566336,
142000,4544000,0.352174,0.452688,13.7167,1.025,8.85405,8.79985,5.68469,0.694484,0.386041,0.647531,
144000,4608000,0.353563,0.452141,13.8465,1.07246,8.92515,8.86365,5.78816,0.801835,0.385426,0.598901,
146000,4672000,0.355019,0.459844,13.9739,3.46531,8.99611,8.92633,5.88734,2.39997,1.57376,1.94212,
148000,4736000,0.356606,0.4725,14.1234,0.565596,9.07775,9.00018,6.0052,0.402007,0.195467,0.346528,
150000,4800000,0.358151,0.472469,14.2982,0.888165,9.17285,9.08788,6.14078,0.595909,0.357519,0.553091,
152000,4864000,0.359737,0.478656,14.4463,1.17596,9.25368,9.16189,6.25488,0.893096,0.505868,0.573894,
154000,4928000,0.361423,0.489625,14.5614,2.1184,9.31921,9.21809,6.34141,1.42513,0.839947,1.32329,
156000,4992000,0.363096,0.491906,14.6661,0.725148,9.37839,9.26911,6.42051,0.549431,0.291168,0.373076,
158000,5056000,0.364796,0.497391,14.8254,1.05251,9.465,9.34923,6.54213,0.618274,0.349059,0.776971,
160000,5120000,0.366506,0.501609,14.9922,2.90483,9.55618,9.43325,6.66787,1.83529,1.34237,1.8077,
162000,5184000,0.36817,0.501234,15.1554,1.27831,9.64451,9.51624,6.79058,0.679676,0.445092,0.986914,
164000,5248000,0.369935,0.512891,15.2924,1.1011,9.71864,9.58563,6.89365,0.78369,0.436008,0.63886,
166000,5312000,0.371695,0.516078,15.4354,1.5049,9.79675,9.65768,7.00023,0.975398,0.466676,1.04668,
168000,5376000,0.373461,0.520031,15.5645,0.733327,9.86815,9.72244,7.0955,0.560773,0.241825,0.405983,
170000,5440000,0.375282,0.52825,15.6899,1.9058,9.93796,9.78469,7.18807,1.45135,0.737877,0.990551,
172000,5504000,0.377088,0.530563,15.8336,2.00254,10.0167,9.85694,7.29451,1.30142,0.747667,1.3257,
174000,5568000,0.378937,0.537953,16.0031,0.634904,10.1081,9.94417,7.41883,0.409697,0.226964,0.428647,
176000,5632000,0.3808,0.542844,16.1713,1.69464,10.1992,10.0305,7.54171,1.04708,0.780373,1.08003,
178000,5696000,0.382685,0.548594,16.2789,1.43784,10.2594,10.0835,7.6202,0.889549,0.509296,1.00832,
180000,5760000,0.384702,0.564219,16.4476,1.20278,10.3514,10.17,7.74237,0.85578,0.412835,0.737489,
182000,5824000,0.386668,0.563641,16.6107,0.791737,10.4403,10.2536,7.85993,0.503902,0.276433,0.544532,
184000,5888000,0.38857,0.561656,16.7489,0.403683,10.5161,10.3239,7.95955,0.268749,0.137109,0.268207,
186000,5952000,0.390576,0.575141,16.8734,3.36138,10.5855,10.3867,8.0485,2.51902,1.19033,1.88056,
188000,6016000,0.392542,0.575312,16.9795,0.777585,10.6449,10.4396,8.12447,0.512966,0.298823,0.502204,
190000,6080000,0.394468,0.575531,17.0703,1.41311,10.6965,10.4847,8.18832,0.967228,0.582887,0.849464,
192000,6144000,0.396377,0.577781,17.1663,0.414955,10.751,10.5323,8.25636,0.315639,0.14833,0.22485,
194000,6208000,0.398281,0.581,17.2561,1.75719,10.8012,10.5781,8.31941,1.25694,0.533244,1.1061,
196000,6272000,0.400043,0.570953,17.3044,1.7153,10.8307,10.6004,8.35293,1.26884,0.665091,0.943381,
198000,6336000,0.401888,0.58275,17.3712,1.07041,10.8693,10.6326,8.40025,0.690538,0.413335,0.705759,
200000,6400000,0.403684,0.581469,17.442,1.13116,10.9108,10.6669,8.44957,0.779347,0.399636,0.715849,
202000,6464000,0.40541,0.578031,17.5135,0.56226,10.9509,10.7034,8.49941,0.463923,0.212476,0.236148,
204000,6528000,0.407117,0.579531,17.562,0.524913,10.9796,10.7265,8.53316,0.446014,0.164364,0.222689,
206000,6592000,0.408851,0.585656,17.6279,1.3494,11.0165,10.7596,8.57968,1.00286,0.485783,0.761034,
208000,6656000,0.410596,0.590328,17.6792,0.72678,11.0454,10.7847,8.61642,0.549871,0.228355,0.41678,
210000,6720000,0.412245,0.583766,17.7264,0.418119,11.0729,10.8076,8.64933,0.260631,0.147808,0.29163,
212000,6784000,0.413852,0.582563,17.7668,0.551541,11.0967,10.8263,8.67825,0.420491,0.219933,0.281096,
214000,6848000,0.415446,0.584391,17.8247,1.21748,11.1298,10.8551,8.71871,0.692105,0.426543,0.90626,
216000,6912000,0.417121,0.596422,17.881,0.987592,11.162,10.8825,8.7584,0.718453,0.387633,0.555791,
218000,6976000,0.418747,0.594328,17.94,0.405568,11.1972,10.9108,8.79888,0.307276,0.17279,0.200525,
220000,7040000,0.420363,0.596469,17.9882,1.72356,11.2269,10.9333,8.8314,1.21352,0.699901,1.00406,
222000,7104000,0.421885,0.589359,18.0506,0.430689,11.2633,10.9642,8.87404,0.343209,0.157286,0.207274,
224000,7168000,0.423396,0.591047,18.098,0.42983,11.291,10.9872,8.90699,0.291507,0.152568,0.276586,
226000,7232000,0.424905,0.593922,18.148,1.90161,11.3211,11.0108,8.94128,1.33679,0.866835,1.03814,
228000,7296000,0.42646,0.602266,18.1954,0.624997,11.3492,11.0338,8.97357,0.433854,0.175457,0.414255,
230000,7360000,0.427915,0.593766,18.2372,1.23857,11.3739,11.054,9.00216,0.999836,0.443623,0.58101,
232000,7424000,0.429303,0.588906,18.2734,0.751428,11.3955,11.0713,9.02693,0.452245,0.23042,0.554098,
234000,7488000,0.430648,0.586656,18.3136,0.738479,11.4188,11.091,9.05486,0.453724,0.267602,0.517566,
236000,7552000,0.432028,0.593453,18.3481,1.17883,11.4389,11.1078,9.07873,0.740522,0.462533,0.792047,
238000,7616000,0.433393,0.594516,18.3864,1.69848,11.4618,11.1265,9.10417,0.999914,0.649396,1.20967,
