NoEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.346172,0.346172,11.1287,0.260765,7.51947,7.53207,3.25178,0.0842233,0.133094,0.207824,
4000,128000,0.343336,0.3405,11.1294,0.142606,7.51962,7.53237,3.25314,0.0508031,0.0757891,0.109598,
6000,192000,0.34024,0.334047,11.1293,0.210572,7.5194,7.53229,3.25345,0.0731943,0.111996,0.162603,
8000,256000,0.33898,0.335203,11.1299,0.107983,7.5195,7.5325,3.25488,0.0368691,0.0598172,0.0819938,
10000,320000,0.338669,0.337422,11.1304,0.26465,7.51956,7.5327,3.2557,0.0863717,0.136048,0.20993,
12000,384000,0.338135,0.335469,11.1316,0.205874,7.5199,7.53315,3.25796,0.0603065,0.105107,0.166432,
14000,448000,0.338263,0.339031,11.1319,0.491474,7.51993,7.53331,3.25867,0.185292,0.278748,0.359879,
16000,512000,0.33766,0.333438,11.1335,0.294057,7.52063,7.5341,3.2606,0.0961852,0.154169,0.231192,
18000,576000,0.337036,0.332047,11.1348,0.228953,7.52105,7.53467,3.26274,0.0813954,0.115191,0.180348,
20000,640000,0.337195,0.338625,11.1353,0.246197,7.52115,7.53491,3.26376,0.0752106,0.123821,0.199059,
22000,704000,0.336645,0.331141,11.1356,0.124824,7.52118,7.53506,3.26429,0.0430909,0.0663201,0.0965704,
24000,768000,0.336686,0.337141,11.1375,0.201692,7.52182,7.53585,3.26749,0.0661154,0.10216,0.160847,
26000,832000,0.337113,0.342234,11.1371,0.248164,7.52186,7.53596,3.26601,0.0752474,0.123361,0.201755,
28000,896000,0.337305,0.339797,11.1396,0.266999,7.52253,7.5369,3.27054,0.0850557,0.134469,0.214411,
30000,960000,0.33754,0.340828,11.1427,0.241431,7.52371,7.53836,3.27525,0.077832,0.125253,0.191162,
32000,1024000,0.33701,0.329062,11.1453,0.250702,7.52478,7.53962,3.27856,0.0857731,0.128634,0.197351,
34000,1088000,0.337483,0.345047,11.1466,0.125137,7.52504,7.54005,3.28135,0.0385878,0.0635008,0.100687,
36000,1152000,0.337537,0.338469,11.1492,0.534517,7.52609,7.54127,3.28522,0.198389,0.285124,0.406269,
38000,1216000,0.337479,0.336422,11.1531,0.169269,7.52752,7.54296,3.29125,0.055559,0.08754,0.133798,
40000,1280000,0.337523,0.338359,11.1568,0.133156,7.52908,7.5447,3.29618,0.0452953,0.0700364,0.103796,
42000,1344000,0.33751,0.33725,11.1601,0.187173,7.53059,7.54643,3.29993,0.0663307,0.0988037,0.14447,
44000,1408000,0.33783,0.344563,11.162,0.220246,7.53156,7.54749,3.3017,0.0810956,0.121628,0.164738,
46000,1472000,0.337658,0.333875,11.164,0.158164,7.53261,7.54866,3.30353,0.0534893,0.084281,0.122684,
48000,1536000,0.337567,0.335469,11.1674,0.19824,7.53417,7.55046,3.30722,0.0656575,0.100452,0.15779,
50000,1600000,0.337581,0.337922,11.1717,0.198089,7.53621,7.55266,3.31203,0.0689305,0.103675,0.154075,
52000,1664000,0.337344,0.331406,11.1751,0.195989,7.53769,7.55433,3.31637,0.0676953,0.101307,0.153513,
54000,1728000,0.337436,0.339844,11.1771,0.120964,7.53871,7.55538,3.31826,0.0444526,0.0624844,0.0935515,
56000,1792000,0.337838,0.348687,11.184,0.211948,7.54152,7.55851,3.32797,0.0745961,0.11499,0.161662,
58000,1856000,0.338012,0.342875,11.1881,0.209416,7.5435,7.56068,3.33257,0.0744231,0.106098,0.164497,
60000,1920000,0.337897,0.334578,11.1932,0.124401,7.54577,7.56323,3.33874,0.0461369,0.0637629,0.0963393,
62000,1984000,0.338109,0.344453,11.1999,0.18289,7.5486,7.5665,3.34721,0.0642993,0.094714,0.142631,
64000,2048000,0.338209,0.341328,11.2069,0.325314,7.55137,7.56965,3.35748,0.111341,0.170966,0.253383,
66000,2112000,0.338209,0.338203,11.2144,0.385612,7.55464,7.57323,3.36693,0.139478,0.2073,0.293716,
68000,2176000,0.3381,0.3345,11.2201,0.244737,7.55699,7.5758,3.37488,0.0777328,0.131553,0.191174,
70000,2240000,0.338045,0.336156,11.2247,0.396642,7.55933,7.57823,3.37937,0.141141,0.211176,0.304646,
72000,2304000,0.338125,0.340922,11.2344,0.232637,7.56355,7.58288,3.39176,0.08166,0.124148,0.178994,
74000,2368000,0.338191,0.340594,11.243,0.155095,7.56731,7.58701,3.40284,0.0641731,0.0867845,0.111377,
76000,2432000,0.338181,0.337781,11.2539,0.38165,7.57206,7.59226,3.41645,0.154718,0.197164,0.287828,
78000,2496000,0.338233,0.340234,11.2608,0.243042,7.57523,7.59557,3.42473,0.0863715,0.120884,0.192345,
80000,2560000,0.338368,0.343625,11.2744,0.450982,7.58104,7.60201,3.4423,0.153724,0.228491,0.357136,
82000,2624000,0.338336,0.337078,11.2836,0.264543,7.58538,7.60652,3.45282,0.102137,0.139303,0.200364,
84000,2688000,0.338356,0.339156,11.3029,0.192183,7.5938,7.61587,3.47695,0.0671992,0.0917838,0.154901,
86000,2752000,0.338476,0.3435,11.318,0.203186,7.60058,7.62313,3.49518,0.0781785,0.107004,0.154022,
88000,2816000,0.338506,0.339828,11.3397,0.434113,7.61028,7.6337,3.52114,0.1667,0.206525,0.343529,
90000,2880000,0.338479,0.337266,11.3575,0.216219,7.61874,7.64249,3.54123,0.0694635,0.0978941,0.17984,
92000,2944000,0.338506,0.33975,11.3818,0.354246,7.62984,7.65419,3.57002,0.146086,0.181545,0.266815,
94000,3008000,0.338681,0.346687,11.3909,0.255989,7.63502,7.65883,3.57786,0.102627,0.126432,0.197516,
96000,3072000,0.338789,0.343906,11.4175,0.358445,7.64734,7.67184,3.60835,0.113943,0.168677,0.295039,
98000,3136000,0.338841,0.341297,11.4431,0.736862,7.65974,7.68435,3.63647,0.296726,0.404978,0.539363,
100000,3200000,0.338859,0.33975,11.4673,0.252431,7.67151,7.69611,3.6628,0.108414,0.125703,0.190175,
102000,3264000,0.338846,0.338219,11.5056,1.64123,7.69002,7.71496,3.70439,0.728919,0.774996,1.24968,
104000,3328000,0.338952,0.344328,11.5365,0.491424,7.7057,7.73014,3.73592,0.235206,0.225313,0.36798,
106000,3392000,0.338977,0.340313,11.591,0.268873,7.73232,7.75698,3.79361,0.151346,0.12449,0.184091,
108000,3456000,0.339157,0.348672,11.6791,0.408311,7.7749,7.80022,3.88687,0.235466,0.185503,0.27724,
110000,3520000,0.339488,0.357375,11.7343,0.451962,7.80348,7.8271,3.94157,0.317455,0.18722,0.261612,
112000,3584000,0.339713,0.352062,11.8271,0.736704,7.85062,7.87288,4.03316,0.518031,0.399062,0.339301,
114000,3648000,0.340179,0.366297,11.9132,0.287415,7.89545,7.91549,4.11467,0.191064,0.125735,0.174047,
116000,3712000,0.340696,0.370172,11.9924,0.5128,7.93684,7.95471,4.18904,0.331065,0.230087,0.31689,
118000,3776000,0.34129,0.375734,12.085,0.576105,7.98611,8.00031,4.27376,0.382428,0.267247,0.337971,
120000,3840000,0.341938,0.380188,12.1763,0.549653,8.03313,8.04539,4.35921,0.342555,0.230388,0.362899,
122000,3904000,0.342631,0.384203,12.2607,0.554874,8.07795,8.08685,4.4357,0.3037,0.24044,0.397291,
