VeryHighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.1
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.337125,0.337125,11.1092,0.276241,7.51061,7.50602,3.26582,0.102767,0.146764,0.210258,
4000,128000,0.333891,0.330656,11.1082,0.171552,7.50996,7.50547,3.26489,0.0599495,0.0930421,0.131069,
6000,192000,0.334964,0.337109,11.1093,0.218621,7.51037,7.506,3.26653,0.070203,0.117898,0.170196,
8000,256000,0.334387,0.332656,11.1099,0.0984581,7.5105,7.50628,3.26767,0.0350133,0.0536625,0.0747556,
10000,320000,0.335881,0.341859,11.1098,0.209608,7.51041,7.5063,3.26751,0.0743749,0.110947,0.161539,
12000,384000,0.336203,0.337813,11.11,0.183282,7.51041,7.50642,3.26797,0.0605837,0.0921968,0.146362,
14000,448000,0.336884,0.340969,11.1117,0.173196,7.51102,7.50721,3.27061,0.0579824,0.0907588,0.135638,
16000,512000,0.336816,0.336344,11.1122,0.178885,7.51115,7.50748,3.27137,0.058417,0.0985476,0.137389,
18000,576000,0.336967,0.338172,11.1125,0.517436,7.51117,7.50761,3.27196,0.159362,0.252369,0.422675,
20000,640000,0.337269,0.339984,11.113,0.121295,7.51133,7.50788,3.27252,0.0410392,0.066031,0.0931024,
22000,704000,0.337626,0.341203,11.1134,0.133409,7.51153,7.50822,3.27283,0.0448549,0.0659663,0.106932,
24000,768000,0.337487,0.335953,11.1152,0.218809,7.51226,7.50905,3.27516,0.0777952,0.113924,0.169843,
26000,832000,0.337907,0.342953,11.1175,0.285995,7.51323,7.51015,3.27823,0.100699,0.150311,0.221494,
28000,896000,0.338234,0.342484,11.1189,0.147995,7.51392,7.51095,3.27987,0.0559637,0.0801834,0.111092,
30000,960000,0.338336,0.339766,11.12,0.0797913,7.51432,7.51145,3.28128,0.0276796,0.0425642,0.0615531,
32000,1024000,0.33839,0.339188,11.1213,0.242564,7.51492,7.51221,3.28284,0.0871045,0.121343,0.191118,
34000,1088000,0.338415,0.338813,11.1232,0.158758,7.51575,7.51318,3.28505,0.0498367,0.0797595,0.127902,
