HighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.03
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.339344,0.339344,3.46731,11.1848,0.251697,7.59603,7.53535,3.25862,0.100048,0.138318,0.184959,
4000,128000,0.338008,0.336672,3.46662,11.1842,0.22381,7.59558,7.53505,3.2583,0.0723211,0.122859,0.172529,
6000,192000,0.335714,0.331125,3.46631,11.1844,0.127643,7.59549,7.53511,3.25897,0.0491775,0.0720819,0.0931578,
8000,256000,0.335,0.332859,3.46601,11.1856,0.253123,7.59599,7.53574,3.26057,0.0889026,0.137945,0.192714,
10000,320000,0.335659,0.338297,3.46552,11.1866,0.220905,7.59635,7.53626,3.26207,0.0752456,0.112201,0.17478,
12000,384000,0.336008,0.33775,3.46525,11.1877,0.131362,7.59675,7.53678,3.26365,0.0420585,0.0661681,0.105399,
14000,448000,0.335879,0.335109,3.46521,11.188,0.24755,7.59671,7.53687,3.26432,0.092075,0.13545,0.185624,
16000,512000,0.335709,0.334516,3.46521,11.1902,0.41005,7.59753,7.53785,3.268,0.133071,0.204523,0.329551,
18000,576000,0.335986,0.338203,3.46507,11.1915,0.283021,7.59797,7.53843,3.26995,0.100707,0.155749,0.213779,
20000,640000,0.336205,0.338172,3.465,11.192,0.193301,7.59816,7.53872,3.27043,0.0588363,0.0957843,0.157255,
22000,704000,0.336183,0.335969,3.46505,11.194,0.137123,7.59896,7.5397,3.27327,0.0479416,0.0694704,0.108065,
24000,768000,0.336616,0.341375,3.46499,11.195,0.242175,7.59936,7.54024,3.27441,0.0892087,0.13334,0.181414,
26000,832000,0.336672,0.337344,3.46483,11.1972,0.200306,7.60027,7.54135,3.27721,0.0750255,0.110224,0.149481,
28000,896000,0.336686,0.336875,3.46482,11.1987,0.294504,7.60099,7.54216,3.27899,0.0943696,0.15412,0.232538,
30000,960000,0.336961,0.340813,3.46488,11.2002,0.197939,7.60165,7.54301,3.28071,0.071575,0.108084,0.149582,
32000,1024000,0.337088,0.338984,3.46478,11.2033,0.170849,7.60288,7.54451,3.28506,0.0585228,0.0916861,0.13175,
34000,1088000,0.337415,0.342656,3.46448,11.2052,0.121521,7.60355,7.54536,3.28795,0.0402048,0.0660565,0.0937421,
36000,1152000,0.337196,0.333469,3.46393,11.208,0.537361,7.60474,7.54673,3.29143,0.165402,0.276251,0.430215,
38000,1216000,0.336872,0.331031,3.46433,11.2084,0.241442,7.60513,7.54715,3.29088,0.0851367,0.129859,0.184886,
40000,1280000,0.336923,0.337891,3.46454,11.2095,0.268565,7.60579,7.54787,3.29166,0.0914417,0.139334,0.210598,
42000,1344000,0.337014,0.338844,3.46471,11.2113,0.161689,7.60659,7.54885,3.29346,0.0570635,0.0871678,0.123648,
44000,1408000,0.336994,0.336578,3.46445,11.2154,0.206474,7.60833,7.55077,3.29901,0.0632848,0.100741,0.168754,
46000,1472000,0.337124,0.339969,3.46438,11.218,0.212135,7.60946,7.55213,3.30214,0.0830884,0.115702,0.157196,
48000,1536000,0.336943,0.332797,3.46372,11.2218,0.399463,7.61103,7.55403,3.30731,0.139267,0.205948,0.312667,
50000,1600000,0.336859,0.334844,3.46138,11.2257,0.185943,7.61264,7.55587,3.31259,0.0699407,0.10125,0.139397,
52000,1664000,0.336648,0.331359,3.4622,11.2288,0.120252,7.614,7.5574,3.31639,0.0419824,0.0637064,0.0929486,
54000,1728000,0.336539,0.333719,3.4614,11.2323,0.224456,7.61552,7.55916,3.32092,0.0723095,0.108601,0.182641,
56000,1792000,0.336666,0.340078,3.46177,11.236,0.370685,7.61699,7.56086,3.326,0.119526,0.192492,0.293373,
58000,1856000,0.336811,0.340875,3.46046,11.2407,0.126321,7.61899,7.56312,3.33229,0.0443943,0.0662952,0.0979344,
60000,1920000,0.336909,0.339766,3.46105,11.2443,0.219197,7.6207,7.56505,3.33618,0.0726796,0.115201,0.171737,
62000,1984000,0.337097,0.342734,3.463,11.2479,0.334099,7.62244,7.56694,3.33992,0.100816,0.176672,0.265039,
64000,2048000,0.336951,0.332406,3.46239,11.2535,0.250068,7.62481,7.56957,3.34726,0.086809,0.138667,0.189129,
66000,2112000,0.336952,0.337,3.46228,11.2575,0.371171,7.62678,7.57165,3.35168,0.130229,0.198578,0.285264,
68000,2176000,0.336947,0.336766,3.46252,11.2622,0.177791,7.62902,7.57405,3.35691,0.0638813,0.0915165,0.138396,
70000,2240000,0.337043,0.340313,3.46283,11.268,0.391361,7.63202,7.57719,3.36246,0.158108,0.215536,0.285849,
72000,2304000,0.337095,0.338906,3.46201,11.2755,0.247451,7.63556,7.58095,3.37106,0.0962877,0.131272,0.186355,
74000,2368000,0.337241,0.3425,3.46208,11.2823,0.226838,7.63881,7.5844,3.37863,0.0795326,0.117947,0.176687,
76000,2432000,0.337263,0.338094,3.45854,11.2927,0.123597,7.64354,7.58952,3.39139,0.0463839,0.0700954,0.0906168,
78000,2496000,0.337311,0.339125,3.45709,11.3008,0.651241,7.64704,7.59336,3.40186,0.230127,0.339688,0.505736,
80000,2560000,0.337403,0.341,3.45736,11.3076,0.296925,7.65017,7.59677,3.40956,0.117716,0.156312,0.223325,
82000,2624000,0.337572,0.344312,3.45739,11.316,0.228075,7.65418,7.60105,3.41884,0.0874614,0.129477,0.166145,
84000,2688000,0.337733,0.344359,3.45707,11.325,0.265559,7.65841,7.60561,3.42929,0.107495,0.139593,0.198697,
86000,2752000,0.337921,0.345812,3.45928,11.3341,0.266676,7.66269,7.61033,3.43912,0.0980565,0.138604,0.205645,
88000,2816000,0.337928,0.338219,3.46029,11.3436,0.467569,7.66754,7.61543,3.44844,0.182344,0.265464,0.33897,
90000,2880000,0.337913,0.337266,3.46166,11.353,0.373678,7.67198,7.6202,3.45886,0.1277,0.1905,0.295021,
92000,2944000,0.337893,0.336969,3.4605,11.3652,0.292974,7.67789,7.62638,3.47208,0.12133,0.154904,0.217067,
94000,3008000,0.337887,0.337641,3.45821,11.379,0.121737,7.68446,7.63336,3.48756,0.0532008,0.0639469,0.0888834,
