MedEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.01
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.334781,0.334781,3.46739,11.1363,0.300083,7.52145,7.53061,3.2764,0.107592,0.158967,0.230658,
4000,128000,0.335859,0.336937,3.46705,11.1364,0.144471,7.52141,7.53067,3.27681,0.0525701,0.077221,0.110206,
6000,192000,0.336745,0.338516,3.46731,11.1362,0.280326,7.52124,7.5306,3.2767,0.0953466,0.145184,0.22003,
8000,256000,0.337523,0.339859,3.46747,11.1373,0.243349,7.52152,7.53103,3.27871,0.0857792,0.126044,0.189666,
10000,320000,0.336281,0.331313,3.46583,11.1392,0.199395,7.52206,7.53176,3.28227,0.0674422,0.101064,0.158102,
12000,384000,0.336307,0.336437,3.46529,11.1387,0.320296,7.52176,7.53158,3.28165,0.111045,0.17873,0.241483,
14000,448000,0.336931,0.340672,3.46526,11.1401,0.27726,7.52219,7.53214,3.28397,0.0894143,0.139013,0.222606,
16000,512000,0.336486,0.333375,3.46521,11.142,0.181337,7.52283,7.53293,3.2874,0.0663786,0.0942204,0.139998,
18000,576000,0.33641,0.335797,3.46511,11.1427,0.0937781,7.52311,7.5333,3.2881,0.0312208,0.0484386,0.0739818,
20000,640000,0.336969,0.342,3.46512,11.1447,0.206593,7.524,7.53434,3.29065,0.0821457,0.11063,0.153927,
22000,704000,0.337226,0.339797,3.46506,11.146,0.0944912,7.52449,7.53496,3.29231,0.0341587,0.0504395,0.0722332,
24000,768000,0.337249,0.3375,3.46505,11.1476,0.238463,7.52526,7.53584,3.29394,0.0814735,0.12652,0.184985,
26000,832000,0.337347,0.338531,3.46504,11.1495,0.327457,7.52604,7.53674,3.2967,0.109654,0.166571,0.259727,
28000,896000,0.337508,0.339594,3.46491,11.1511,0.226402,7.52658,7.53742,3.29918,0.0697548,0.111253,0.184431,
30000,960000,0.337953,0.344187,3.46478,11.1523,0.302844,7.52722,7.53813,3.30014,0.112477,0.170795,0.223366,
32000,1024000,0.33783,0.335984,3.46497,11.1543,0.283258,7.52804,7.53909,3.30301,0.0985919,0.146282,0.221621,
34000,1088000,0.337839,0.337984,3.46489,11.1559,0.373467,7.52895,7.54006,3.30412,0.127968,0.188967,0.295623,
36000,1152000,0.337546,0.332563,3.46492,11.158,0.149215,7.52985,7.54117,3.30659,0.0560911,0.0798681,0.112871,
38000,1216000,0.337542,0.337469,3.46485,11.1601,0.235984,7.5308,7.54228,3.30886,0.0799263,0.128329,0.181195,
40000,1280000,0.337416,0.335031,3.46489,11.1627,0.296122,7.53187,7.54351,3.31245,0.104934,0.152618,0.231051,
42000,1344000,0.337278,0.3345,3.46482,11.1662,0.227351,7.5333,7.54513,3.31737,0.0811109,0.12093,0.174601,
44000,1408000,0.337204,0.335656,3.46455,11.168,0.521707,7.53406,7.54604,3.31967,0.203758,0.277228,0.392181,
46000,1472000,0.337302,0.339453,3.46432,11.1719,0.192981,7.53577,7.54791,3.32446,0.0685909,0.10398,0.147395,
48000,1536000,0.337508,0.34225,3.46393,11.1743,0.392739,7.53676,7.5491,3.3277,0.133671,0.190942,0.316097,
50000,1600000,0.337551,0.338578,3.46394,11.1777,0.460298,7.53811,7.5507,3.33224,0.164664,0.23699,0.358602,
52000,1664000,0.337499,0.336203,3.46355,11.1819,0.179594,7.54002,7.55289,3.3372,0.0655787,0.0958916,0.13696,
54000,1728000,0.33748,0.336984,3.46216,11.1862,0.193996,7.54181,7.55493,3.34276,0.0664886,0.0987692,0.153161,
56000,1792000,0.337478,0.337438,3.46211,11.1896,0.285137,7.5434,7.5567,3.34671,0.0988137,0.148289,0.222598,
58000,1856000,0.33772,0.3445,3.46328,11.1924,0.156239,7.54489,7.55831,3.34903,0.0532835,0.079049,0.123785,
60000,1920000,0.337866,0.342078,3.46272,11.1968,0.233167,7.54678,7.56036,3.35482,0.0894765,0.124195,0.175888,
62000,1984000,0.33778,0.335219,3.46142,11.2027,0.215661,7.54937,7.56327,3.36225,0.0788875,0.115304,0.164291,
64000,2048000,0.338033,0.345875,3.4614,11.2068,0.133695,7.55119,7.56525,3.36717,0.0581451,0.0753086,0.0939265,
66000,2112000,0.338093,0.34,3.45933,11.2137,0.313318,7.55425,7.56864,3.37583,0.100361,0.15829,0.251078,
68000,2176000,0.338129,0.339312,3.45911,11.2187,0.336796,7.55657,7.57111,3.38169,0.139632,0.187528,0.242419,
70000,2240000,0.338042,0.335078,3.45786,11.227,0.304238,7.5602,7.57513,3.39206,0.114433,0.158142,0.23336,
72000,2304000,0.337919,0.333641,3.45768,11.2322,0.188418,7.56292,7.57799,3.39704,0.0740833,0.0992704,0.14198,
74000,2368000,0.337792,0.333219,3.45823,11.2388,0.215203,7.5659,7.58118,3.40493,0.0801467,0.117318,0.161634,
76000,2432000,0.337683,0.333641,3.45747,11.2472,0.236423,7.56954,7.58522,3.41557,0.0868588,0.125457,0.180588,
78000,2496000,0.337806,0.3425,3.45742,11.2532,0.217018,7.57225,7.58815,3.42294,0.0839352,0.119591,0.160466,
80000,2560000,0.337864,0.340094,3.45707,11.2621,0.259846,7.57644,7.59268,3.43287,0.0945552,0.132222,0.202723,
82000,2624000,0.337903,0.339484,3.45691,11.2738,0.262968,7.58143,7.59814,3.44808,0.104162,0.14383,0.193946,
84000,2688000,0.337897,0.337641,3.45519,11.2878,0.201942,7.58742,7.60497,3.46565,0.0742418,0.107358,0.154088,
86000,2752000,0.337796,0.333547,3.45463,11.2933,0.620619,7.59048,7.60808,3.46983,0.236481,0.320283,0.476092,
88000,2816000,0.337794,0.337703,3.45429,11.3097,0.22176,7.59758,7.61589,3.49056,0.0840053,0.111527,0.172286,
90000,2880000,0.33782,0.338984,3.45334,11.3254,0.692345,7.60468,7.62367,3.50893,0.255912,0.375942,0.522033,
92000,2944000,0.337981,0.345234,3.45192,11.3403,0.401816,7.61183,7.63117,3.52519,0.180628,0.217363,0.285627,
94000,3008000,0.337969,0.337422,3.45245,11.3528,0.161885,7.61825,7.63768,3.53754,0.0725795,0.0821886,0.119097,
