NoEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.335562,0.335562,3.46742,11.1156,0.257745,7.50516,7.52192,3.26323,0.0845212,0.130409,0.205626,
4000,128000,0.33293,0.330297,3.4665,11.117,0.483285,7.50572,7.52258,3.26533,0.150169,0.255777,0.381565,
6000,192000,0.333474,0.334563,3.46566,11.1168,0.145827,7.50551,7.52248,3.26527,0.0569644,0.0770475,0.109928,
8000,256000,0.334148,0.336172,3.46551,11.1182,0.160313,7.506,7.52312,3.26744,0.0563705,0.0828214,0.125153,
10000,320000,0.335056,0.338688,3.46522,11.1203,0.1844,7.50686,7.52412,3.27027,0.0685199,0.0955325,0.142063,
12000,384000,0.335833,0.339719,3.46515,11.1218,0.109214,7.50739,7.52477,3.27272,0.0366519,0.0539479,0.0876007,
14000,448000,0.335647,0.334531,3.46513,11.1224,0.196485,7.50773,7.52519,3.2732,0.0644836,0.102703,0.154598,
16000,512000,0.335748,0.336453,3.46513,11.1239,0.218944,7.50827,7.52589,3.2755,0.079669,0.120248,0.164711,
18000,576000,0.335941,0.337484,3.46509,11.1241,0.212746,7.5082,7.52592,3.27597,0.0723255,0.1089,0.167841,
20000,640000,0.336292,0.339453,3.46505,11.1238,0.136376,7.50802,7.52585,3.27585,0.0483831,0.070906,0.105971,
22000,704000,0.336473,0.338281,3.46511,11.1241,0.164403,7.50814,7.52608,3.27586,0.0711557,0.0911136,0.116892,
24000,768000,0.336471,0.336453,3.46517,11.1258,0.138856,7.50878,7.52688,3.27853,0.0458258,0.0698389,0.110921,
26000,832000,0.336668,0.339031,3.46508,11.1279,0.322409,7.50959,7.52784,3.2815,0.122045,0.165091,0.248591,
28000,896000,0.336669,0.336672,3.46501,11.1309,0.439332,7.5109,7.5293,3.28521,0.157366,0.231378,0.338693,
30000,960000,0.337308,0.346266,3.4647,11.1337,0.21951,7.51204,7.53062,3.28923,0.0801383,0.110772,0.171732,
32000,1024000,0.337174,0.335156,3.46471,11.1375,0.131543,7.51356,7.53233,3.29466,0.0432924,0.0692586,0.103114,
34000,1088000,0.336883,0.332234,3.46378,11.1416,0.240294,7.51529,7.53425,3.30012,0.0814829,0.120425,0.19131,
36000,1152000,0.33701,0.339156,3.46033,11.1479,0.197701,7.5178,7.53712,3.30899,0.0659024,0.101853,0.156104,
38000,1216000,0.337183,0.340297,3.45769,11.1528,0.231245,7.51974,7.5393,3.3162,0.0713269,0.112717,0.188896,
40000,1280000,0.33734,0.340328,3.45702,11.157,0.327943,7.52153,7.54124,3.32171,0.138128,0.179021,0.237527,
42000,1344000,0.337376,0.338109,3.45703,11.1578,0.196238,7.5219,7.54173,3.32275,0.0826393,0.108878,0.140804,
44000,1408000,0.337712,0.344766,3.45727,11.1599,0.33166,7.52302,7.54292,3.32451,0.118814,0.171184,0.258026,
46000,1472000,0.337967,0.343563,3.45795,11.1629,0.216229,7.52461,7.54457,3.32723,0.0798242,0.120279,0.160985,
48000,1536000,0.338181,0.343109,3.45799,11.1681,0.191381,7.52697,7.54715,3.33359,0.0631975,0.0956808,0.153226,
50000,1600000,0.338227,0.339328,3.45728,11.174,0.364913,7.52936,7.54986,3.3418,0.134137,0.189544,0.281499,
52000,1664000,0.338198,0.337484,3.45739,11.1762,0.477288,7.53064,7.55119,3.3432,0.155711,0.236628,0.384142,
54000,1728000,0.338226,0.338937,3.45768,11.1807,0.175295,7.53262,7.55336,3.34871,0.0694701,0.093321,0.131124,
56000,1792000,0.338144,0.335938,3.45709,11.1891,0.197331,7.53607,7.55728,3.36008,0.0667459,0.103093,0.154455,
58000,1856000,0.338149,0.338297,3.45538,11.1975,0.263322,7.53976,7.56143,3.37071,0.100582,0.134255,0.202972,
60000,1920000,0.338173,0.338859,3.45452,11.2044,0.176866,7.54258,7.56468,3.37999,0.0690094,0.0927851,0.13383,
62000,1984000,0.338096,0.335797,3.45346,11.2122,0.158647,7.5459,7.56831,3.39023,0.0610739,0.0819552,0.121335,
64000,2048000,0.338291,0.344344,3.45338,11.2155,0.24684,7.54773,7.57017,3.39301,0.0871633,0.127595,0.19249,
66000,2112000,0.338304,0.338688,3.4537,11.2254,0.282593,7.55192,7.57467,3.40631,0.114614,0.14315,0.215013,
68000,2176000,0.338216,0.335344,3.45239,11.2372,0.450749,7.55723,7.58047,3.42037,0.150113,0.227569,0.358961,
70000,2240000,0.338112,0.334547,3.45161,11.2443,0.275931,7.56073,7.58409,3.42814,0.118505,0.13945,0.206515,
72000,2304000,0.338262,0.343516,3.4514,11.251,0.183506,7.5641,7.58757,3.43499,0.0643668,0.0953834,0.142945,
74000,2368000,0.33822,0.336734,3.44908,11.2661,0.182122,7.57096,7.59509,3.45271,0.0633422,0.0910096,0.144477,
76000,2432000,0.338317,0.341906,3.44682,11.279,0.252516,7.57682,7.60129,3.468,0.108992,0.128314,0.188204,
78000,2496000,0.338187,0.333234,3.44421,11.2925,0.1371,7.58306,7.60795,3.48383,0.0567964,0.069738,0.103475,
80000,2560000,0.338182,0.338,3.43938,11.3081,0.233327,7.59015,7.61542,3.50245,0.0889127,0.123051,0.177186,
82000,2624000,0.338155,0.337063,3.43603,11.3252,0.279848,7.598,7.62378,3.52263,0.113999,0.135439,0.216738,
84000,2688000,0.33827,0.342969,3.4279,11.3494,0.390018,7.60894,7.63559,3.55119,0.179043,0.204091,0.280008,
86000,2752000,0.338323,0.340547,3.41706,11.3729,0.276091,7.6197,7.64695,3.57882,0.107571,0.13617,0.214738,
88000,2816000,0.338275,0.336219,3.40685,11.3897,0.255689,7.62817,7.6556,3.59567,0.112241,0.127165,0.191332,
90000,2880000,0.338361,0.342141,3.41271,11.411,0.541935,7.63871,7.66619,3.61824,0.263196,0.266837,0.391433,
92000,2944000,0.338548,0.346984,3.40585,11.4384,0.216658,7.65185,7.67982,3.64786,0.0902922,0.105545,0.166277,
94000,3008000,0.338675,0.344516,3.38178,11.48,0.490881,7.67094,7.70042,3.6948,0.190329,0.23029,0.389494,
