LowEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.004
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.339406,0.339406,3.46755,11.1136,0.185913,7.49606,7.54022,3.23508,0.0614631,0.0943535,0.14793,
4000,128000,0.338453,0.3375,3.46739,11.1126,0.204964,7.49552,7.53977,3.23404,0.0854072,0.113554,0.14772,
6000,192000,0.338495,0.338578,3.46674,11.1134,0.125535,7.49574,7.54011,3.23547,0.0473067,0.0684589,0.0939916,
8000,256000,0.337488,0.334469,3.46586,11.1139,0.3185,7.49589,7.54038,3.23629,0.121942,0.164864,0.243705,
10000,320000,0.337772,0.338906,3.46584,11.1135,0.123108,7.4956,7.54019,3.2361,0.0458574,0.0644975,0.0943012,
12000,384000,0.338875,0.344391,3.46592,11.1142,0.162163,7.49594,7.54063,3.23649,0.0588144,0.084195,0.125495,
14000,448000,0.339007,0.339797,3.46551,11.1167,0.307693,7.49686,7.54169,3.24038,0.114374,0.164239,0.233707,
16000,512000,0.339133,0.340016,3.46524,11.1177,0.196133,7.49725,7.5422,3.24191,0.0677793,0.0994448,0.15487,
18000,576000,0.339056,0.338437,3.4652,11.1198,0.319313,7.49816,7.54323,3.2447,0.102527,0.16017,0.256504,
20000,640000,0.339508,0.343578,3.46519,11.1214,0.181428,7.49886,7.54406,3.24665,0.0604661,0.0959629,0.141602,
22000,704000,0.33995,0.344375,3.46515,11.1226,0.106972,7.49929,7.54464,3.24817,0.0384286,0.0557341,0.0828245,
24000,768000,0.339868,0.338969,3.46512,11.1248,0.17085,7.50017,7.54567,3.25142,0.0571821,0.0862481,0.135945,
26000,832000,0.33971,0.337813,3.46499,11.1276,0.112458,7.5013,7.54697,3.25542,0.0388673,0.0583808,0.0879076,
28000,896000,0.339382,0.335109,3.46484,11.1299,0.200829,7.50209,7.54797,3.2591,0.0623536,0.111628,0.154866,
30000,960000,0.339215,0.336875,3.46453,11.1316,0.11735,7.50268,7.54876,3.26158,0.0409449,0.0576755,0.0936382,
32000,1024000,0.339062,0.336766,3.4643,11.1337,0.146819,7.5034,7.54969,3.26496,0.0473871,0.0794009,0.114043,
34000,1088000,0.339011,0.338203,3.46403,11.1353,0.279823,7.50419,7.55063,3.26659,0.0981714,0.148017,0.216228,
36000,1152000,0.338486,0.329562,3.46397,11.1371,0.14917,7.50472,7.55137,3.26978,0.0525179,0.076363,0.116885,
38000,1216000,0.338493,0.338625,3.46275,11.1407,0.11055,7.50631,7.5532,3.27407,0.0377905,0.0567933,0.0869925,
40000,1280000,0.338431,0.33725,3.46082,11.145,0.180179,7.50808,7.55524,3.28009,0.0688282,0.0962881,0.135852,
42000,1344000,0.338265,0.334938,3.46185,11.1468,0.255963,7.50901,7.5562,3.28176,0.0858093,0.126007,0.205612,
44000,1408000,0.338317,0.339422,3.4628,11.149,0.285253,7.51022,7.55751,3.28341,0.109546,0.156184,0.212073,
46000,1472000,0.338426,0.340813,3.46323,11.1508,0.110167,7.511,7.55849,3.28544,0.0399442,0.0577795,0.0848688,
48000,1536000,0.338031,0.328953,3.46205,11.155,0.177971,7.51278,7.56048,3.29119,0.0709525,0.0948739,0.132809,
50000,1600000,0.338158,0.341203,3.46045,11.1586,0.162677,7.51431,7.56224,3.29562,0.0610454,0.0899098,0.121052,
52000,1664000,0.33801,0.334297,3.46087,11.1629,0.216659,7.51631,7.56447,3.30065,0.0769317,0.116119,0.165949,
54000,1728000,0.337983,0.337281,3.4595,11.1684,0.217103,7.51872,7.56713,3.30751,0.0795984,0.11733,0.164413,
56000,1792000,0.33783,0.333703,3.45834,11.1732,0.255266,7.52082,7.56941,3.3138,0.0943497,0.142,0.189986,
58000,1856000,0.337594,0.331,3.4584,11.1772,0.240531,7.52282,7.57153,3.31792,0.0903265,0.124174,0.18514,
60000,1920000,0.337703,0.340844,3.46044,11.1794,0.217613,7.52406,7.57284,3.31962,0.0814733,0.117904,0.163757,
62000,1984000,0.337685,0.337156,3.45961,11.1861,0.180827,7.52734,7.57639,3.32663,0.0665384,0.0998614,0.135273,
64000,2048000,0.337835,0.342484,3.45833,11.1919,0.270435,7.52975,7.57913,3.33437,0.098856,0.140134,0.209105,
66000,2112000,0.337911,0.340359,3.4574,11.2008,0.162366,7.53369,7.58358,3.34534,0.0599479,0.0861618,0.123876,
68000,2176000,0.338122,0.345078,3.45744,11.2063,0.229756,7.53617,7.58639,3.35186,0.0817534,0.123738,0.175479,
70000,2240000,0.338011,0.334234,3.45709,11.2123,0.23272,7.53891,7.58941,3.35868,0.0896861,0.123396,0.175751,
72000,2304000,0.338133,0.342391,3.45704,11.2194,0.176492,7.54214,7.59293,3.3672,0.064877,0.0909685,0.13662,
74000,2368000,0.338272,0.343266,3.45651,11.2286,0.245727,7.54619,7.59746,3.37864,0.0879407,0.123612,0.193309,
76000,2432000,0.338193,0.335297,3.45568,11.2377,0.593695,7.55031,7.60198,3.38959,0.266873,0.322983,0.420636,
78000,2496000,0.338355,0.344516,3.45495,11.2495,0.255296,7.55582,7.60799,3.40278,0.101511,0.131102,0.194123,
80000,2560000,0.338419,0.340906,3.45425,11.2571,0.156052,7.55936,7.6117,3.4118,0.0645497,0.0816135,0.116296,
82000,2624000,0.338468,0.340406,3.45429,11.2685,0.262973,7.56471,7.61737,3.42498,0.118086,0.143964,0.1857,
84000,2688000,0.33837,0.334375,3.45385,11.2778,0.195541,7.5695,7.62227,3.43413,0.084197,0.113066,0.135511,
86000,2752000,0.338363,0.338078,3.45424,11.2917,0.199215,7.57559,7.62889,3.45166,0.0817994,0.110826,0.143921,
88000,2816000,0.338433,0.341422,3.45338,11.3023,0.403288,7.58096,7.63427,3.46261,0.161172,0.213382,0.301883,
90000,2880000,0.338609,0.346359,3.45424,11.3161,0.323097,7.58771,7.64126,3.47725,0.111806,0.168723,0.25184,
92000,2944000,0.33854,0.335438,3.45389,11.333,0.519297,7.59544,7.64951,3.4973,0.190842,0.281852,0.392185,
94000,3008000,0.338501,0.336703,3.45296,11.352,0.223882,7.604,7.65893,3.5195,0.0863779,0.112736,0.173069,
