VeryHighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.1
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.336672,0.336672,3.46761,11.1593,0.1543,7.53932,7.54903,3.27113,0.0492911,0.0746728,0.12571,
4000,128000,0.339547,0.342422,3.46755,11.1603,0.191344,7.5397,7.54952,3.27271,0.0691989,0.104302,0.144725,
6000,192000,0.338469,0.336313,3.46734,11.1605,0.253665,7.53964,7.54958,3.27337,0.0769597,0.139182,0.197614,
8000,256000,0.338777,0.339703,3.46723,11.1612,0.451147,7.5399,7.54994,3.27433,0.14185,0.219444,0.367772,
10000,320000,0.337981,0.334797,3.46683,11.1619,0.413608,7.54005,7.55023,3.27576,0.148271,0.198576,0.331142,
12000,384000,0.33806,0.338453,3.46586,11.1626,0.149137,7.54034,7.55062,3.27633,0.0566173,0.0851231,0.108584,
14000,448000,0.338096,0.338313,3.46616,11.1631,0.184232,7.54057,7.55094,3.27692,0.0639328,0.0966515,0.143222,
16000,512000,0.337924,0.336719,3.46563,11.1647,0.173546,7.5412,7.55173,3.2792,0.0575695,0.0927381,0.134921,
18000,576000,0.33829,0.341219,3.46564,11.1651,0.134465,7.54123,7.5519,3.27983,0.046679,0.0702727,0.104707,
20000,640000,0.338056,0.335953,3.46565,11.1651,0.171983,7.54131,7.55206,3.27937,0.0589879,0.0940991,0.131316,
22000,704000,0.338366,0.341469,3.46653,11.1651,0.202964,7.54141,7.55225,3.27861,0.0739519,0.111226,0.15282,
24000,768000,0.338465,0.339547,3.4674,11.1659,0.182262,7.54176,7.55266,3.27983,0.0610804,0.0941623,0.143604,
26000,832000,0.338391,0.3375,3.46733,11.1675,0.204163,7.54234,7.55342,3.28196,0.0718175,0.110065,0.156239,
28000,896000,0.338493,0.339828,3.46648,11.1692,0.173959,7.54311,7.55434,3.28408,0.0600506,0.0916876,0.135089,
30000,960000,0.338451,0.337859,3.4664,11.1707,0.241307,7.54374,7.55509,3.28606,0.0703118,0.11388,0.20079,
32000,1024000,0.33867,0.341953,3.46688,11.172,0.16473,7.54432,7.55578,3.28746,0.0599671,0.0858852,0.127136,
34000,1088000,0.338654,0.338391,3.46717,11.1731,0.162816,7.5448,7.55641,3.28847,0.057145,0.0888434,0.123897,
36000,1152000,0.338634,0.338297,3.46724,11.1742,0.229689,7.54532,7.55707,3.28977,0.0877139,0.12055,0.174732,
38000,1216000,0.338632,0.338594,3.46722,11.1773,0.100679,7.54668,7.55854,3.2936,0.0384847,0.0576888,0.0729871,
40000,1280000,0.338718,0.340359,3.46662,11.1794,0.600285,7.54742,7.5595,3.29683,0.205992,0.33166,0.455973,
42000,1344000,0.338632,0.336906,3.46591,11.181,0.281025,7.54827,7.56045,3.29828,0.0918463,0.146377,0.221615,
44000,1408000,0.338759,0.341422,3.46659,11.1837,0.264245,7.54942,7.5617,3.30178,0.0955475,0.138224,0.203937,
46000,1472000,0.338973,0.343688,3.46574,11.1866,0.206929,7.55074,7.5632,3.30509,0.076392,0.114706,0.154358,
48000,1536000,0.339083,0.341609,3.46563,11.1893,0.105215,7.55207,7.5646,3.30822,0.033569,0.0531416,0.0843761,
50000,1600000,0.338957,0.335938,3.46639,11.1921,0.19713,7.55336,7.56606,3.31143,0.0717851,0.107344,0.148944,
52000,1664000,0.338906,0.337641,3.46644,11.1955,0.164423,7.55486,7.56774,3.31544,0.0677365,0.0900761,0.119721,
54000,1728000,0.338839,0.337094,3.46633,11.1985,0.100699,7.55612,7.56923,3.31932,0.0422999,0.0589906,0.0697926,
56000,1792000,0.338936,0.341563,3.46577,11.2022,0.28214,7.55779,7.57115,3.32382,0.109919,0.141286,0.218081,
58000,1856000,0.338888,0.337547,3.46559,11.2055,0.125801,7.55928,7.57278,3.32777,0.0445849,0.0640672,0.0986584,
60000,1920000,0.339082,0.344687,3.46542,11.2102,0.236254,7.56149,7.57517,3.33309,0.0911137,0.122598,0.180233,
62000,1984000,0.339278,0.345172,3.46642,11.2147,0.324018,7.56372,7.57762,3.33741,0.11847,0.177048,0.244144,
64000,2048000,0.339225,0.337563,3.46585,11.2188,0.264252,7.56552,7.57963,3.34284,0.0908466,0.14822,0.199014,
66000,2112000,0.339261,0.340422,3.46573,11.2235,0.262565,7.56765,7.582,3.34829,0.0924765,0.139025,0.202634,
68000,2176000,0.339109,0.334094,3.46535,11.2284,0.204632,7.57006,7.58452,3.35371,0.0715877,0.108721,0.157889,
70000,2240000,0.339372,0.348328,3.4653,11.2338,0.317591,7.57253,7.58727,3.35969,0.116484,0.169525,0.241985,
72000,2304000,0.339389,0.339984,3.46527,11.2396,0.181283,7.57522,7.59026,3.3665,0.0693065,0.0982881,0.135645,
74000,2368000,0.339336,0.337406,3.46525,11.2451,0.255778,7.57776,7.5931,3.37258,0.087534,0.132396,0.200578,
76000,2432000,0.339495,0.345391,3.46521,11.2531,0.211663,7.58149,7.59714,3.38184,0.0900973,0.11559,0.152717,
78000,2496000,0.339616,0.344203,3.46512,11.2604,0.222175,7.58489,7.60081,3.39034,0.0794518,0.114752,0.172861,
80000,2560000,0.339698,0.342906,3.4652,11.2681,0.201351,7.58863,7.60478,3.39839,0.0815544,0.113525,0.144925,
82000,2624000,0.339541,0.33325,3.46528,11.2759,0.27496,7.59231,7.60884,3.40711,0.110639,0.143919,0.206518,
84000,2688000,0.339685,0.345594,3.46558,11.2829,0.271307,7.59553,7.61223,3.41538,0.110449,0.144754,0.201134,
86000,2752000,0.339678,0.339375,3.46542,11.2926,0.341881,7.60027,7.61732,3.42576,0.13347,0.181962,0.256824,
88000,2816000,0.339569,0.334906,3.46518,11.3019,0.204688,7.60463,7.62203,3.43628,0.0816505,0.108678,0.153035,
90000,2880000,0.339642,0.342844,3.46512,11.3114,0.17632,7.60901,7.62675,3.44726,0.0725251,0.08995,0.133184,
92000,2944000,0.33962,0.338625,3.46487,11.323,0.288694,7.61436,7.63257,3.46064,0.127137,0.160857,0.203237,
94000,3008000,0.339641,0.340625,3.4646,11.335,0.227353,7.62025,7.63861,3.47364,0.092904,0.127586,0.163646,
