Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.0001
Training Time, 6213.46s 

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.338844,0.338844,11.1447,0.164156,7.52267,7.53854,3.28388,0.0599105,0.0883538,0.124706,
4000,128000,0.339578,0.340313,11.1459,0.113402,7.52311,7.53909,3.28566,0.0347445,0.0559708,0.0923042,
6000,192000,0.339349,0.338891,11.1475,0.216919,7.52365,7.53978,3.28826,0.07273,0.108698,0.173058,
8000,256000,0.338562,0.336203,11.1481,0.219099,7.52392,7.54015,3.28887,0.0724674,0.108741,0.175865,
10000,320000,0.339413,0.342813,11.1497,0.155075,7.52456,7.54096,3.29108,0.0579442,0.0835112,0.117118,
12000,384000,0.339779,0.341609,11.1509,0.372322,7.52479,7.54141,3.2934,0.123015,0.185539,0.298439,
14000,448000,0.33954,0.338109,11.1501,0.282219,7.52425,7.54099,3.29294,0.0993979,0.145572,0.220401,
16000,512000,0.339006,0.335266,11.1496,0.147969,7.52402,7.54084,3.29203,0.0482969,0.0787312,0.115602,
18000,576000,0.339314,0.341781,11.1514,0.128899,7.52456,7.54158,3.29539,0.0485857,0.0713807,0.095704,
20000,640000,0.339369,0.339859,11.1525,0.246495,7.52492,7.54208,3.29722,0.0780704,0.127277,0.196126,
22000,704000,0.339551,0.341375,11.1544,0.178747,7.52556,7.5429,3.30002,0.0630645,0.0937647,0.138497,
24000,768000,0.339051,0.333547,11.1567,0.15498,7.52645,7.54395,3.30344,0.0563917,0.0844201,0.117098,
26000,832000,0.338901,0.337109,11.1579,0.20835,7.52687,7.54448,3.30534,0.0777773,0.110511,0.158581,
28000,896000,0.33889,0.338734,11.1595,0.215462,7.52764,7.54537,3.30713,0.0686987,0.117734,0.166862,
30000,960000,0.339142,0.342672,11.1608,0.194393,7.52799,7.54588,3.30951,0.0752078,0.10082,0.148214,
32000,1024000,0.338548,0.329641,11.1636,0.175361,7.52925,7.54728,3.31277,0.0610815,0.0943616,0.134597,
34000,1088000,0.338551,0.338609,11.1644,0.177163,7.52981,7.54797,3.31273,0.0614223,0.095279,0.136147,
36000,1152000,0.338238,0.332906,11.1689,0.120009,7.53144,7.54993,3.31977,0.0408934,0.0622729,0.0940854,
38000,1216000,0.338228,0.338047,11.1709,0.203643,7.53201,7.5507,3.32328,0.0688798,0.106341,0.159429,
40000,1280000,0.33815,0.336672,11.1748,0.319641,7.53354,7.55246,3.32889,0.119702,0.169846,0.242887,
42000,1344000,0.337977,0.334516,11.1792,0.188271,7.53522,7.55443,3.33546,0.0638223,0.0960354,0.148828,
44000,1408000,0.337991,0.338297,11.1815,0.231257,7.53629,7.55565,3.33816,0.0820473,0.122023,0.178489,
46000,1472000,0.338252,0.343984,11.1838,0.162772,7.53755,7.55694,3.34,0.0538858,0.0899161,0.124523,
48000,1536000,0.33822,0.337484,11.1906,0.243809,7.54027,7.56004,3.34943,0.0889127,0.13194,0.184741,
50000,1600000,0.338416,0.343109,11.1951,0.0991246,7.54226,7.56227,3.35524,0.0365256,0.0548031,0.0740824,
52000,1664000,0.338424,0.338641,11.1968,0.191633,7.54305,7.56311,3.35697,0.063552,0.0963231,0.15299,
54000,1728000,0.338701,0.345891,11.1997,0.207685,7.54439,7.56469,3.36026,0.0787807,0.110233,0.157402,
56000,1792000,0.33852,0.333641,11.2051,0.114921,7.54672,7.56727,3.36726,0.0391866,0.0609562,0.0891945,
58000,1856000,0.338281,0.331578,11.2106,0.253551,7.54909,7.56991,3.37431,0.100472,0.145161,0.181994,
60000,1920000,0.338457,0.343578,11.2155,0.608439,7.55122,7.57234,3.38036,0.205301,0.332042,0.466687,
62000,1984000,0.338717,0.346516,11.2196,0.172102,7.55332,7.57455,3.38423,0.0639384,0.0882131,0.133227,
64000,2048000,0.338783,0.340813,11.2236,0.134516,7.5555,7.57677,3.38763,0.0499646,0.0750318,0.0998414,
66000,2112000,0.338958,0.344563,11.2309,0.290045,7.5588,7.58053,3.39624,0.113423,0.15317,0.218632,
68000,2176000,0.339004,0.340516,11.2402,0.192494,7.5625,7.58476,3.40904,0.0755849,0.0962299,0.148596,
70000,2240000,0.338822,0.332641,11.245,0.337204,7.56525,7.5877,3.41244,0.124685,0.181404,0.255446,
72000,2304000,0.338844,0.339609,11.2518,0.35568,7.56849,7.59115,3.41977,0.123237,0.185678,0.277208,
