Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002
Training Time,  6055.02s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.342281,0.342281,11.1566,0.158677,7.57325,7.50871,3.27654,0.0554822,0.0839575,0.122683,
4000,128000,0.339156,0.336031,11.1578,0.28971,7.57359,7.50922,3.27867,0.09563,0.146148,0.231144,
6000,192000,0.338526,0.337266,11.1582,0.180972,7.57371,7.50944,3.27928,0.0551763,0.0946414,0.144047,
8000,256000,0.339008,0.340453,11.1587,0.145341,7.57377,7.50965,3.28008,0.0476932,0.0782531,0.112809,
10000,320000,0.338716,0.337547,11.16,0.187753,7.57411,7.51018,3.28249,0.0651705,0.0991169,0.145532,
12000,384000,0.337997,0.334406,11.1595,0.253208,7.57367,7.5099,3.28245,0.0862782,0.136211,0.195235,
14000,448000,0.33815,0.339063,11.1601,0.148999,7.5738,7.51017,3.28363,0.0482527,0.0757524,0.118886,
16000,512000,0.338109,0.337828,11.1618,0.495025,7.57416,7.51079,3.28721,0.180367,0.255005,0.384044,
18000,576000,0.338116,0.338172,11.1621,0.251572,7.57422,7.51097,3.28785,0.082461,0.142597,0.190143,
20000,640000,0.337541,0.332359,11.1639,0.297809,7.57486,7.51178,3.29041,0.0864406,0.145049,0.245313,
22000,704000,0.337509,0.337187,11.1658,0.292756,7.57572,7.51281,3.29271,0.101492,0.156902,0.22536,
24000,768000,0.337659,0.339312,11.1683,0.128496,7.57645,7.5138,3.29717,0.0471359,0.0661277,0.0995816,
26000,832000,0.33744,0.334812,11.1708,0.248258,7.57742,7.51497,3.30072,0.0834564,0.135969,0.190209,
28000,896000,0.337177,0.333766,11.1723,0.233258,7.57798,7.51568,3.30283,0.0792774,0.121244,0.182823,
30000,960000,0.33724,0.338109,11.1751,0.261588,7.57907,7.51703,3.30677,0.102396,0.135492,0.19896,
32000,1024000,0.337126,0.335422,11.1775,0.155151,7.58012,7.51832,3.30955,0.0544214,0.0860047,0.117103,
34000,1088000,0.337131,0.337219,11.1797,0.327807,7.58109,7.51943,3.31221,0.120305,0.178371,0.247321,
36000,1152000,0.336883,0.332656,11.183,0.312091,7.5825,7.5211,3.3164,0.108496,0.161988,0.243699,
38000,1216000,0.336873,0.336688,11.1856,0.303886,7.58361,7.52242,3.31974,0.112239,0.17085,0.224854,
40000,1280000,0.336986,0.339141,11.1918,0.202552,7.58611,7.52537,3.32819,0.0690103,0.0996123,0.162303,
42000,1344000,0.336786,0.332797,11.1938,0.14856,7.58684,7.52633,3.33088,0.0521148,0.0802921,0.113611,
44000,1408000,0.337018,0.341875,11.199,0.377585,7.58912,7.52894,3.3375,0.12411,0.187545,0.303305,
46000,1472000,0.337047,0.337687,11.1979,0.209927,7.58899,7.52868,3.33467,0.0734875,0.11395,0.160263,
48000,1536000,0.337288,0.342828,11.2011,0.60005,7.5903,7.53029,3.33873,0.197444,0.351812,0.444189,
50000,1600000,0.337189,0.334812,11.2036,0.151924,7.59148,7.53163,3.34129,0.0522528,0.0829244,0.116078,
52000,1664000,0.337108,0.335094,11.2076,0.276662,7.59331,7.53367,3.34604,0.0972625,0.15048,0.210803,
54000,1728000,0.337131,0.337719,11.2117,0.34878,7.59513,7.5358,3.35093,0.138795,0.194444,0.254115,
56000,1792000,0.336953,0.332141,11.2182,0.202904,7.59801,7.53898,3.35885,0.0795644,0.112026,0.149297,
58000,1856000,0.337138,0.342344,11.2225,0.276695,7.60021,7.54121,3.36331,0.105805,0.138812,0.214701,
60000,1920000,0.337406,0.345156,11.2276,0.233901,7.60267,7.54384,3.36893,0.0788678,0.124462,0.181656,
62000,1984000,0.337527,0.341156,11.236,0.15719,7.60611,7.54778,3.38023,0.0534408,0.0820874,0.122941,
64000,2048000,0.337413,0.333875,11.2432,0.366369,7.60927,7.55124,3.38941,0.14022,0.192073,0.278698,
66000,2112000,0.337604,0.343734,11.249,0.169796,7.61194,7.55406,3.39623,0.0672886,0.0864839,0.129706,
68000,2176000,0.337791,0.343953,11.2582,0.215304,7.61622,7.55869,3.40688,0.0747396,0.120974,0.161663,
