Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.0005
TrainingTime, 6261.77s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.340234,0.340234,11.1163,0.271935,7.51286,7.51522,3.26354,0.101618,0.141022,0.209131,
4000,128000,0.340477,0.340719,11.1173,0.286237,7.51316,7.51565,3.26509,0.0955835,0.147531,0.225898,
6000,192000,0.34088,0.341688,11.1184,0.279238,7.5136,7.51622,3.2668,0.088367,0.160334,0.210851,
8000,256000,0.340848,0.34075,11.1193,0.291182,7.51386,7.51661,3.26825,0.104678,0.149739,0.226733,
10000,320000,0.340294,0.338078,11.1215,0.202555,7.51482,7.51772,3.27094,0.075711,0.104947,0.155829,
12000,384000,0.339318,0.334437,11.1219,0.311297,7.51481,7.51782,3.27206,0.111069,0.167443,0.237765,
14000,448000,0.338813,0.335781,11.1239,0.289343,7.51559,7.51879,3.2748,0.0923653,0.141755,0.23472,
16000,512000,0.338816,0.338844,11.1235,0.152936,7.51537,7.51867,3.27442,0.0516684,0.073764,0.123607,
18000,576000,0.339191,0.342187,11.124,0.12646,7.51541,7.51887,3.27556,0.0431003,0.0661621,0.0987774,
20000,640000,0.339141,0.338688,11.1255,0.205489,7.5161,7.51968,3.2772,0.0748111,0.116221,0.152058,
22000,704000,0.339449,0.342531,11.1272,0.163174,7.51678,7.52054,3.27937,0.0612277,0.0816289,0.127332,
24000,768000,0.339438,0.339312,11.1293,0.112252,7.51752,7.52144,3.28262,0.0427246,0.0611097,0.0839085,
26000,832000,0.339406,0.339031,11.1321,0.112598,7.51863,7.52277,3.28663,0.0398604,0.0620048,0.0851173,
28000,896000,0.339174,0.336156,11.1358,0.30206,7.52023,7.52453,3.2914,0.0934583,0.163841,0.235928,
30000,960000,0.338667,0.331562,11.1382,0.128178,7.5212,7.52569,3.29484,0.0437725,0.0681193,0.0993652,
32000,1024000,0.338661,0.338578,11.1408,0.148123,7.52214,7.52688,3.29853,0.0544826,0.0820013,0.110671,
34000,1088000,0.338382,0.333922,11.1447,0.369985,7.52358,7.52857,3.30449,0.121953,0.185243,0.296144,
36000,1152000,0.338375,0.33825,11.1469,0.144325,7.52478,7.52987,3.30635,0.0527639,0.0792278,0.108483,
38000,1216000,0.338196,0.334969,11.1492,0.322006,7.52582,7.53111,3.3089,0.117145,0.172423,0.245429,
