Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.01
Training Time, 5971.4s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.332344,0.332344,11.1183,0.140751,7.5127,7.50757,3.28823,0.0543162,0.0759232,0.105339,
4000,128000,0.336727,0.341109,11.1191,0.217289,7.51293,7.50792,3.28948,0.0773255,0.109019,0.171319,
6000,192000,0.335417,0.332797,11.1215,0.123778,7.51373,7.50893,3.29365,0.0430819,0.0683681,0.0937585,
8000,256000,0.335871,0.337234,11.124,0.310052,7.51457,7.50999,3.29759,0.0994441,0.158558,0.247189,
10000,320000,0.336022,0.336625,11.1259,0.194278,7.51511,7.51074,3.30105,0.062802,0.10119,0.153494,
12000,384000,0.337115,0.342578,11.128,0.27695,7.51592,7.51171,3.30417,0.112242,0.135804,0.213683,
14000,448000,0.337321,0.338562,11.1293,0.20453,7.51644,7.51235,3.30606,0.0697137,0.112924,0.15563,
16000,512000,0.337354,0.337578,11.1312,0.219818,7.51701,7.51308,3.30931,0.0773176,0.1153,0.170434,
18000,576000,0.337092,0.335,11.1333,0.223247,7.51775,7.51399,3.3128,0.0755039,0.117439,0.174202,
20000,640000,0.337564,0.341812,11.1346,0.181925,7.51804,7.51449,3.31532,0.0638787,0.0917159,0.143542,
22000,704000,0.337876,0.341,11.1381,0.118041,7.51921,7.51596,3.32092,0.0459976,0.0650338,0.0871125,
24000,768000,0.337833,0.337359,11.1417,0.193759,7.52059,7.51758,3.32634,0.0712656,0.102117,0.148445,
26000,832000,0.337948,0.339328,11.1446,0.516807,7.52182,7.51899,3.33003,0.173874,0.25866,0.412253,
