Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.0001
Training Time, 7043.79s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.343203,0.343203,11.0995,0.130833,7.47625,7.52137,3.27609,0.0484108,0.0723801,0.0976467,
4000,128000,0.342125,0.341047,11.0997,0.10581,7.47617,7.52141,3.27699,0.0334854,0.0569794,0.0826312,
6000,192000,0.343125,0.345125,11.1004,0.233165,7.47632,7.5217,3.27824,0.080717,0.118095,0.184131,
8000,256000,0.342539,0.340781,11.1009,0.132998,7.47645,7.52193,3.2793,0.0457323,0.0682475,0.104591,
10000,320000,0.341403,0.336859,11.1023,0.16384,7.47697,7.52258,3.2813,0.055581,0.0793044,0.132155,
12000,384000,0.34037,0.335203,11.1034,0.120866,7.47754,7.52323,3.28228,0.0425112,0.0642417,0.0931364,
14000,448000,0.3399,0.337078,11.104,0.15854,7.47768,7.5235,3.28343,0.0497429,0.0793185,0.127942,
16000,512000,0.339732,0.338562,11.1052,0.226916,7.47804,7.52402,3.28545,0.0768625,0.120141,0.176491,
18000,576000,0.340014,0.342266,11.1067,0.211936,7.47834,7.52452,3.28845,0.0714951,0.112977,0.164443,
20000,640000,0.340078,0.340656,11.1073,0.198721,7.47854,7.52484,3.28949,0.0627645,0.100791,0.159347,
22000,704000,0.339528,0.334031,11.1071,0.288229,7.47844,7.52483,3.28895,0.0913474,0.148706,0.229387,
24000,768000,0.339563,0.339938,11.1098,0.195854,7.47938,7.52597,3.29346,0.0644744,0.105536,0.151869,
26000,832000,0.339755,0.342063,11.1118,0.486395,7.47983,7.52663,3.29749,0.155172,0.244084,0.391056,
28000,896000,0.339152,0.331313,11.1131,0.101669,7.48025,7.5272,3.2996,0.0365086,0.0554737,0.0769829,
30000,960000,0.33905,0.337625,11.1147,0.140311,7.48105,7.5281,3.3012,0.0459396,0.0707786,0.112103,
32000,1024000,0.339166,0.340906,11.1172,0.141773,7.48208,7.52932,3.30457,0.048658,0.0743048,0.110503,
34000,1088000,0.339108,0.338187,11.1172,0.124406,7.48217,7.52949,3.30406,0.0481499,0.0633981,0.0955991,
36000,1152000,0.339257,0.341781,11.1201,0.218369,7.48317,7.53067,3.30883,0.0753278,0.118684,0.167107,
38000,1216000,0.339432,0.342578,11.1232,0.173165,7.48462,7.53218,3.31254,0.0513079,0.0891542,0.139302,
40000,1280000,0.339441,0.339609,11.1257,0.182907,7.48571,7.53344,3.31538,0.0679554,0.0981826,0.138553,
42000,1344000,0.33969,0.344687,11.1276,0.153752,7.48676,7.53457,3.31699,0.0542431,0.0853181,0.115837,
44000,1408000,0.339435,0.334062,11.1303,0.128478,7.48797,7.53597,3.32008,0.0466537,0.0632571,0.10163,
46000,1472000,0.33956,0.342328,11.1329,0.208255,7.4893,7.53739,3.32249,0.0659607,0.109246,0.164575,
48000,1536000,0.339648,0.341672,11.1361,0.303505,7.49066,7.53893,3.32687,0.11431,0.170757,0.223362,
50000,1600000,0.339557,0.337359,11.1394,0.137068,7.49239,7.54076,3.32973,0.0483048,0.0723197,0.105944,
52000,1664000,0.339595,0.340547,11.143,0.186844,7.49401,7.54266,3.33391,0.0761421,0.100829,0.137647,
54000,1728000,0.339573,0.339,11.1462,0.337145,7.49545,7.54424,3.33785,0.107771,0.167548,0.271992,
56000,1792000,0.339477,0.336891,11.1502,0.118828,7.49682,7.5459,3.34409,0.043883,0.0671233,0.0876863,
58000,1856000,0.339582,0.342516,11.1545,0.366953,7.49899,7.54829,3.34848,0.13697,0.197098,0.277572,
60000,1920000,0.339785,0.345672,11.1593,0.144743,7.50097,7.55049,3.35488,0.0485379,0.0762534,0.113048,
62000,1984000,0.339812,0.340641,11.1623,0.136054,7.50259,7.55223,3.35743,0.0463459,0.0671452,0.108878,
64000,2048000,0.339945,0.344063,11.1678,0.258322,7.50484,7.55471,3.36517,0.0938498,0.129921,0.202591,
66000,2112000,0.340106,0.34525,11.1735,0.169086,7.50749,7.55756,3.37171,0.0632094,0.0914833,0.127379,
68000,2176000,0.340052,0.338266,11.1824,0.260585,7.51122,7.56169,3.38355,0.0986162,0.142667,0.194487,
70000,2240000,0.340055,0.340172,11.1888,0.166932,7.51406,7.56485,3.39134,0.057447,0.0927553,0.126343,
72000,2304000,0.340083,0.341047,11.1963,0.164137,7.51734,7.56848,3.40084,0.0560729,0.0800308,0.131878,
74000,2368000,0.339965,0.335719,11.2041,0.352773,7.52069,7.57216,3.41085,0.140591,0.181682,0.26772,
76000,2432000,0.339991,0.340937,11.2127,0.328232,7.52448,7.57625,3.42152,0.128728,0.178261,0.243697,
