Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002
Training Time, 6997.22s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.335938,0.335938,11.1429,0.119042,7.54019,7.52627,3.26556,0.0419454,0.0648232,0.0906065,
4000,128000,0.338367,0.340797,11.1431,0.188428,7.54023,7.52642,3.26603,0.062798,0.0953813,0.14988,
6000,192000,0.339464,0.341656,11.1436,0.129912,7.54032,7.52664,3.26702,0.0446032,0.0682935,0.101112,
8000,256000,0.337648,0.332203,11.1438,0.250856,7.54031,7.52675,3.26728,0.0892422,0.1308,0.194565,
10000,320000,0.33695,0.334156,11.1452,0.268919,7.54083,7.52739,3.26952,0.0881687,0.131177,0.217569,
12000,384000,0.337221,0.338578,11.1459,0.218993,7.54102,7.52773,3.27062,0.072023,0.114609,0.172149,
14000,448000,0.338109,0.343437,11.148,0.169915,7.54172,7.52861,3.27428,0.0595679,0.0867626,0.133398,
16000,512000,0.338189,0.33875,11.1496,0.330227,7.54204,7.52919,3.27767,0.112743,0.160612,0.265599,
18000,576000,0.33834,0.339547,11.1498,0.226496,7.54207,7.52937,3.2779,0.0784462,0.122361,0.173707,
20000,640000,0.338941,0.344344,11.1521,0.206683,7.54282,7.53038,3.28156,0.0731412,0.106344,0.161428,
22000,704000,0.338858,0.338031,11.1538,0.252437,7.5434,7.53114,3.28418,0.0854681,0.133789,0.196266,
24000,768000,0.338711,0.337094,11.1563,0.250071,7.54452,7.5324,3.28731,0.0900316,0.12515,0.196894,
26000,832000,0.338496,0.335922,11.1596,0.138758,7.54575,7.53392,3.29216,0.0425042,0.069907,0.112073,
28000,896000,0.338381,0.336875,11.1608,0.24484,7.54638,7.53462,3.29306,0.0930262,0.124988,0.188868,
30000,960000,0.338681,0.342891,11.1619,0.123359,7.54689,7.53529,3.29438,0.0430438,0.0647859,0.0957465,
32000,1024000,0.338858,0.341516,11.1642,0.157954,7.54799,7.53655,3.29645,0.0646131,0.0900991,0.112502,
34000,1088000,0.338964,0.340656,11.1671,0.198216,7.54914,7.53797,3.30062,0.0720087,0.107004,0.150513,
36000,1152000,0.339268,0.344438,11.168,0.224426,7.54954,7.53853,3.30147,0.0849211,0.122054,0.168102,
38000,1216000,0.339021,0.334578,11.1716,0.317261,7.55085,7.54019,3.30671,0.122457,0.170439,0.237927,
40000,1280000,0.338955,0.337703,11.1765,0.195306,7.55293,7.54255,3.31316,0.0663298,0.100258,0.153926,
42000,1344000,0.339021,0.340328,11.1822,0.316061,7.55519,7.5453,3.3211,0.121371,0.167587,0.238911,
44000,1408000,0.338947,0.337406,11.1839,0.311313,7.55604,7.54624,3.32258,0.101167,0.160195,0.24702,
46000,1472000,0.33919,0.344531,11.1865,0.284241,7.55738,7.5477,3.32511,0.0912855,0.135764,0.23244,
48000,1536000,0.339208,0.339625,11.1895,0.379828,7.55875,7.54911,3.32882,0.129441,0.191761,0.301234,
50000,1600000,0.339102,0.336547,11.1931,0.157863,7.56021,7.55084,3.33374,0.0588155,0.0820771,0.121346,
52000,1664000,0.338975,0.335797,11.1986,0.335735,7.56263,7.55344,3.34062,0.101443,0.16854,0.272069,
54000,1728000,0.33886,0.335875,11.203,0.166794,7.56466,7.55565,3.34609,0.055229,0.0797539,0.135681,
56000,1792000,0.339105,0.345734,11.2104,0.515525,7.56766,7.55914,3.35591,0.185339,0.256739,0.406817,
58000,1856000,0.338941,0.334344,11.2149,0.220589,7.56964,7.5613,3.36186,0.0790887,0.116353,0.169901,
60000,1920000,0.338872,0.336859,11.2202,0.178403,7.57202,7.56394,3.36798,0.0654431,0.0954931,0.135742,
62000,1984000,0.338856,0.338391,11.2249,0.132166,7.57436,7.5664,3.37284,0.048377,0.0685028,0.102152,
64000,2048000,0.338778,0.336359,11.2307,0.41301,7.57691,7.5691,3.38039,0.152017,0.223861,0.312017,
66000,2112000,0.338821,0.340187,11.238,0.178105,7.57994,7.57255,3.39036,0.0685112,0.0879833,0.138875,
68000,2176000,0.338953,0.343313,11.2451,0.173158,7.58304,7.57609,3.39881,0.0612891,0.0929033,0.132652,
70000,2240000,0.338907,0.337344,11.2531,0.237159,7.58683,7.58017,3.40796,0.0869104,0.126793,0.180594,
72000,2304000,0.338843,0.336609,11.2607,0.220595,7.59058,7.58433,3.41531,0.0891588,0.113702,0.166687,
74000,2368000,0.338721,0.334312,11.2723,0.235544,7.59551,7.58975,3.43042,0.0925099,0.132025,0.171734,
76000,2432000,0.338733,0.339172,11.2769,0.567342,7.59822,7.59232,3.43412,0.200052,0.287099,0.446576,
78000,2496000,0.338632,0.334797,11.2885,0.219964,7.60328,7.59791,3.44839,0.0850117,0.119117,0.164221,
80000,2560000,0.338572,0.336234,11.2958,0.257739,7.60719,7.60192,3.45485,0.109536,0.140555,0.186214,
82000,2624000,0.338559,0.338031,11.3059,0.190892,7.61183,7.60686,3.46681,0.0692373,0.0963399,0.149547,
84000,2688000,0.338615,0.340937,11.3173,0.37537,7.61723,7.61277,3.47926,0.146601,0.191942,0.287349,
86000,2752000,0.338653,0.340219,11.3348,0.307323,7.62511,7.62131,3.50026,0.116284,0.164278,0.232246,
88000,2816000,0.338626,0.337469,11.3515,0.518692,7.63267,7.62942,3.52009,0.205454,0.271107,0.391576,
90000,2880000,0.338666,0.340422,11.3654,0.42568,7.63941,7.63638,3.53523,0.181157,0.223936,0.31343,
92000,2944000,0.338641,0.337531,11.378,0.292336,7.64612,7.64299,3.54684,0.11041,0.145621,0.228176,
94000,3008000,0.338795,0.345859,11.3965,0.346521,7.65484,7.65236,3.56732,0.155615,0.174995,0.255416,
96000,3072000,0.338791,0.338625,11.4181,0.28897,7.66507,7.66327,3.59085,0.126919,0.152863,0.209829,
98000,3136000,0.33895,0.346563,11.438,0.350888,7.67429,7.67296,3.61366,0.157285,0.1864,0.252268,
100000,3200000,0.339081,0.345531,11.4657,0.174475,7.68673,7.68644,3.6463,0.0771665,0.0882288,0.129238,
102000,3264000,0.339146,0.342406,11.501,0.17944,7.70257,7.70358,3.68768,0.071878,0.0906307,0.13718,
104000,3328000,0.339249,0.344469,11.5232,0.395691,7.71379,7.71501,3.70953,0.157689,0.193703,0.306896,
106000,3392000,0.339311,0.342531,11.5586,0.374174,7.73057,7.73258,3.74804,0.167222,0.198189,0.269749,
108000,3456000,0.339366,0.342297,11.6065,0.365854,7.75308,7.75643,3.79994,0.17636,0.180873,0.264635,
110000,3520000,0.339446,0.343766,11.6439,0.514371,7.77166,7.77498,3.83827,0.206064,0.266337,0.388818,
112000,3584000,0.339587,0.347344,11.6935,0.61305,7.79577,7.80009,3.88879,0.306846,0.295786,0.440666,
114000,3648000,0.339766,0.349813,11.7447,0.511601,7.82078,7.82529,3.94198,0.202054,0.242096,0.402864,
116000,3712000,0.339964,0.351234,11.806,0.421372,7.85063,7.85554,4.0049,0.203497,0.223584,0.293519,
118000,3776000,0.340167,0.351906,11.8743,0.496986,7.88439,7.88944,4.07323,0.256643,0.232945,0.356182,
120000,3840000,0.34031,0.34875,11.9637,0.494406,7.9282,7.93402,4.1624,0.257601,0.246871,0.342249,
122000,3904000,0.340524,0.353406,12.0827,0.375981,7.98592,7.9936,4.28004,0.182614,0.171387,0.280429,
124000,3968000,0.340898,0.363703,12.2059,0.918937,8.04756,8.0551,4.39721,0.579381,0.452216,0.551602,
126000,4032000,0.341337,0.368531,12.3464,0.525005,8.11774,8.12506,4.52978,0.312188,0.229639,0.354168,
128000,4096000,0.341884,0.376359,12.5132,0.4217,8.20301,8.20865,4.6807,0.295006,0.172881,0.246808,
130000,4160000,0.342621,0.389797,12.6948,1.24703,8.29564,8.29951,4.84345,0.853098,0.623568,0.662172,
132000,4224000,0.343492,0.400094,12.926,1.16942,8.41354,8.41627,5.04579,0.910022,0.487461,0.549346,
134000,4288000,0.344611,0.418453,13.1631,1.43047,8.53532,8.53614,5.24887,1.0341,0.645271,0.748665,
136000,4352000,0.34583,0.4275,13.3771,1.5066,8.64716,8.64412,5.42699,0.981925,0.615853,0.962496,
138000,4416000,0.347223,0.441984,13.5669,0.79996,8.74875,8.73946,5.58044,0.598105,0.335043,0.412253,
140000,4480000,0.348653,0.447328,13.7571,1.36629,8.85126,8.83529,5.73167,1.03122,0.645453,0.62187,
142000,4544000,0.350159,0.455563,13.9908,0.850492,8.9762,8.95402,5.91581,0.647113,0.395819,0.384589,
144000,4608000,0.351688,0.46025,14.1615,1.36071,9.07017,9.03999,6.04642,0.999462,0.576237,0.721506,
146000,4672000,0.353402,0.476813,14.3852,1.46341,9.19089,9.1536,6.2187,1.12508,0.637807,0.684802,
148000,4736000,0.355184,0.485266,14.584,1.27846,9.29977,9.25449,6.36881,0.895831,0.572108,0.710386,
150000,4800000,0.357078,0.497187,14.7835,0.712591,9.40918,9.35579,6.51827,0.56886,0.288668,0.317578,
152000,4864000,0.358966,0.500609,14.9277,1.10385,9.49042,9.42844,6.6236,0.794715,0.494441,0.585188,
154000,4928000,0.360805,0.500547,15.0883,2.64709,9.58096,9.5096,6.74015,2.04069,1.23253,1.15043,
156000,4992000,0.362654,0.505031,15.2099,0.703668,9.65088,9.57021,6.82744,0.586761,0.298787,0.248168,
158000,5056000,0.364434,0.50325,15.3201,0.618101,9.71399,9.62561,6.90586,0.474621,0.2861,0.273734,
160000,5120000,0.366212,0.50675,15.412,0.986388,9.76759,9.67147,6.97047,0.778853,0.426125,0.429846,
162000,5184000,0.36803,0.513438,15.4933,1.15287,9.81681,9.71113,7.02609,0.896236,0.469686,0.552516,
164000,5248000,0.3698,0.513141,15.594,0.532572,9.87629,9.76131,7.09569,0.355384,0.256127,0.302877,
166000,5312000,0.371459,0.507484,15.6708,0.40575,9.92306,9.7988,7.1478,0.341291,0.144508,0.165138,
168000,5376000,0.373128,0.511719,15.7333,0.973368,9.96119,9.82942,7.18982,0.685529,0.477247,0.499731,
170000,5440000,0.374835,0.518172,15.8013,1.70979,10.0041,9.86214,7.2344,1.3022,0.791471,0.775385,
172000,5504000,0.376496,0.517687,15.866,1.15798,10.0448,9.8933,7.27697,1.0039,0.407076,0.409135,
174000,5568000,0.378077,0.514031,15.9252,0.657144,10.081,9.92234,7.31669,0.490777,0.295842,0.321641,
176000,5632000,0.379578,0.510219,15.9783,1.21794,10.1152,9.94771,7.35081,1.00512,0.477141,0.495427,
178000,5696000,0.38108,0.513188,16.0329,1.23374,10.1509,9.97334,7.38544,1.10671,0.437151,0.325918,
180000,5760000,0.382529,0.5115,16.0994,0.601895,10.1916,10.0062,7.42972,0.540071,0.196937,0.178374,
182000,5824000,0.383926,0.509703,16.1392,0.706031,10.218,10.0246,7.4548,0.560313,0.312125,0.295141,
184000,5888000,0.385362,0.516016,16.1871,0.561781,10.2481,10.0478,7.48607,0.419098,0.258262,0.270658,
186000,5952000,0.386789,0.518078,16.2387,1.09365,10.2818,10.0723,7.5185,0.806147,0.515273,0.529804,
188000,6016000,0.38827,0.526047,16.2935,0.82409,10.3172,10.0982,7.55377,0.631351,0.365529,0.383286,
190000,6080000,0.38959,0.513625,16.3436,0.496182,10.3495,10.1223,7.58552,0.395683,0.214904,0.20844,
192000,6144000,0.390871,0.512609,16.3951,0.368933,10.3817,10.1474,7.61896,0.312931,0.15471,0.119377,
194000,6208000,0.392199,0.519687,16.4389,0.246692,10.4099,10.1685,7.64673,0.201768,0.107891,0.0922299,
196000,6272000,0.393475,0.51725,16.4758,0.887251,10.4353,10.1855,7.66897,0.772428,0.339471,0.274462,
198000,6336000,0.394752,0.519891,16.4992,0.881357,10.4528,10.1955,7.68215,0.702207,0.357952,0.394418,
200000,6400000,0.395948,0.514297,16.5434,0.185895,10.4814,10.2166,7.71008,0.147793,0.0795246,0.0799385,
202000,6464000,0.397148,0.517187,16.5709,0.461421,10.503,10.228,7.72464,0.404932,0.16195,0.150704,
204000,6528000,0.398364,0.521172,16.6118,1.32534,10.5301,10.2473,7.75003,0.997543,0.665341,0.564576,
206000,6592000,0.39949,0.514359,16.645,0.743628,10.554,10.2621,7.76913,0.620911,0.292075,0.286609,
208000,6656000,0.400662,0.521328,16.6721,1.38016,10.5734,10.2742,7.78478,1.06421,0.638801,0.603512,
210000,6720000,0.401818,0.522078,16.7241,0.709937,10.6064,10.2996,7.81781,0.599694,0.295246,0.23918,
212000,6784000,0.402899,0.516344,16.7684,1.0887,10.6358,10.3207,7.84496,0.874023,0.465631,0.452255,
214000,6848000,0.403978,0.518391,16.8085,1.69817,10.6625,10.3395,7.86951,1.30515,0.731915,0.802894,
