Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.0005
Training Time, 7010.0s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.339953,0.339953,11.2176,0.151493,7.63357,7.54143,3.2696,0.0459702,0.0712575,0.125536,
4000,128000,0.340688,0.341422,11.2186,0.434575,7.63388,7.54189,3.27137,0.140027,0.203113,0.357762,
6000,192000,0.341828,0.344109,11.2194,0.189275,7.63413,7.54225,3.27243,0.0591118,0.0950236,0.152647,
8000,256000,0.341047,0.338703,11.2201,0.134856,7.63431,7.54256,3.27367,0.04516,0.0696865,0.106256,
10000,320000,0.340131,0.336469,11.2212,0.158617,7.63476,7.54315,3.27513,0.0522319,0.0766384,0.128677,
12000,384000,0.34006,0.339703,11.2219,0.428209,7.63494,7.54343,3.27637,0.162629,0.23334,0.320105,
14000,448000,0.338585,0.329734,11.2239,0.120618,7.63557,7.54426,3.28006,0.0419914,0.0599648,0.0958628,
16000,512000,0.338564,0.338422,11.2254,0.269471,7.63601,7.54485,3.28287,0.0853442,0.147314,0.208877,
18000,576000,0.338582,0.338719,11.2261,0.234807,7.63629,7.54525,3.2835,0.0692003,0.115614,0.192299,
20000,640000,0.337784,0.330609,11.2271,0.239694,7.6366,7.54569,3.28508,0.0752765,0.124862,0.190252,
22000,704000,0.337955,0.339656,11.2276,0.168547,7.63654,7.54582,3.28684,0.0576431,0.0896422,0.130575,
24000,768000,0.337796,0.336047,11.2313,0.179631,7.63778,7.54737,3.29294,0.0579681,0.0949789,0.141018,
26000,832000,0.338069,0.341344,11.2329,0.285827,7.63855,7.54818,3.29484,0.0932143,0.139467,0.231425,
28000,896000,0.337971,0.336703,11.2341,0.161708,7.63899,7.54881,3.29657,0.0610725,0.0858876,0.12265,
30000,960000,0.337801,0.335422,11.2345,0.192834,7.63931,7.54915,3.29636,0.0683071,0.0937019,0.154075,
32000,1024000,0.337862,0.338781,11.2364,0.17535,7.63997,7.55002,3.29916,0.0593221,0.086356,0.140609,
34000,1088000,0.337516,0.331969,11.2396,0.17245,7.64119,7.55149,3.30376,0.0604731,0.0909395,0.133461,
36000,1152000,0.337541,0.337969,11.2427,0.281469,7.64255,7.55308,3.30752,0.0950346,0.151495,0.217354,
38000,1216000,0.337672,0.340031,11.244,0.167945,7.64318,7.55374,3.30906,0.0540332,0.0888664,0.131866,
40000,1280000,0.338085,0.345937,11.2446,0.254177,7.64359,7.55424,3.30908,0.0879846,0.137864,0.194571,
42000,1344000,0.338273,0.342031,11.2465,0.170103,7.64464,7.5554,3.31058,0.0581126,0.084552,0.135679,
44000,1408000,0.338441,0.341969,11.2485,0.18659,7.64562,7.55649,3.31241,0.0627259,0.0992517,0.145019,
46000,1472000,0.338524,0.340359,11.251,0.189939,7.64693,7.55794,3.31474,0.0813174,0.102011,0.13805,
48000,1536000,0.338738,0.343641,11.2535,0.357752,7.64804,7.55923,3.31762,0.14417,0.20113,0.258358,
50000,1600000,0.338711,0.338062,11.2564,0.213159,7.64919,7.56057,3.3218,0.0783671,0.115144,0.161361,
52000,1664000,0.338668,0.337594,11.2603,0.31897,7.65076,7.56234,3.32724,0.0883452,0.156719,0.263393,
54000,1728000,0.338712,0.339875,11.2627,0.232739,7.65188,7.56363,3.3299,0.084783,0.127577,0.175224,
56000,1792000,0.338573,0.334812,11.265,0.124734,7.65299,7.56482,3.33237,0.0472071,0.0685843,0.0928771,
58000,1856000,0.338711,0.342562,11.2695,0.220303,7.65495,7.567,3.33824,0.089526,0.121207,0.160708,
60000,1920000,0.338637,0.3365,11.2746,0.204551,7.65696,7.56932,3.34549,0.057154,0.0985462,0.169892,
62000,1984000,0.33866,0.339344,11.2773,0.13048,7.65824,7.57082,3.3485,0.0425147,0.0661458,0.104126,
64000,2048000,0.338707,0.340172,11.2827,0.179287,7.66036,7.57332,3.35608,0.0652939,0.0930217,0.138663,
66000,2112000,0.338571,0.334234,11.2875,0.296666,7.66234,7.57555,3.36248,0.111584,0.156643,0.225882,
68000,2176000,0.338604,0.339672,11.2921,0.136551,7.66459,7.57796,3.36736,0.0540146,0.074515,0.100877,
70000,2240000,0.33858,0.337781,11.2977,0.592634,7.66691,7.5806,3.37518,0.203793,0.306426,0.464529,
72000,2304000,0.33861,0.339656,11.3011,0.498634,7.66865,7.58254,3.37815,0.172955,0.259869,0.388833,
74000,2368000,0.33861,0.338594,11.3072,0.3149,7.67134,7.58553,3.38572,0.107198,0.150276,0.255123,
76000,2432000,0.338633,0.3395,11.3116,0.237877,7.67326,7.58773,3.39102,0.0884023,0.125952,0.181402,
