Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.0001

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.335422,0.335422,11.1496,0.113865,7.54519,7.53173,3.26443,0.040224,0.059375,0.0884408,
4000,128000,0.336359,0.337297,11.15,0.185812,7.54525,7.53194,3.26533,0.0605829,0.0885247,0.15172,
6000,192000,0.337161,0.338766,11.1501,0.135846,7.54514,7.53196,3.26573,0.0461304,0.0700141,0.106884,
8000,256000,0.33634,0.333875,11.1519,0.150442,7.5458,7.53279,3.26836,0.0504083,0.0811966,0.116185,
10000,320000,0.336625,0.337766,11.1518,0.158226,7.54575,7.53285,3.26821,0.0550435,0.0814389,0.12399,
12000,384000,0.336385,0.335187,11.1535,0.172243,7.54638,7.53361,3.27057,0.0612712,0.0961564,0.129103,
14000,448000,0.335973,0.3335,11.1538,0.144395,7.54645,7.53379,3.27106,0.0488212,0.0721729,0.115142,
16000,512000,0.336459,0.339859,11.1555,0.277296,7.5471,7.53461,3.27346,0.0953581,0.145636,0.215847,
18000,576000,0.3372,0.343125,11.1565,0.198777,7.54756,7.53519,3.27451,0.0653204,0.10517,0.155515,
20000,640000,0.337023,0.335438,11.158,0.194858,7.54812,7.53591,3.27681,0.0641859,0.100502,0.154108,
22000,704000,0.336825,0.334844,11.1581,0.251958,7.54817,7.53606,3.27662,0.0869511,0.137374,0.192486,
24000,768000,0.336862,0.337266,11.1595,0.290515,7.54874,7.53676,3.27845,0.106255,0.157347,0.219888,
26000,832000,0.337043,0.339219,11.1606,0.220168,7.54913,7.53726,3.28018,0.0773913,0.121484,0.166512,
28000,896000,0.337419,0.342297,11.1629,0.153502,7.55005,7.53839,3.28337,0.0507397,0.0791029,0.121372,
30000,960000,0.337141,0.33325,11.1642,0.396225,7.55069,7.53914,3.2846,0.122914,0.202771,0.317443,
32000,1024000,0.336973,0.334453,11.1669,0.147919,7.5518,7.54042,3.28804,0.0512961,0.0828688,0.111272,
34000,1088000,0.337016,0.337703,11.1686,0.174348,7.55236,7.54116,3.29083,0.0539428,0.0824515,0.143837,
36000,1152000,0.33708,0.338172,11.172,0.15853,7.55363,7.54271,3.29587,0.0622233,0.0876222,0.116544,
38000,1216000,0.337192,0.339203,11.1756,0.236753,7.55512,7.54445,3.30074,0.0734622,0.128709,0.184633,
40000,1280000,0.337101,0.335375,11.1778,0.159335,7.55619,7.54564,3.30307,0.0587883,0.0851667,0.121154,
42000,1344000,0.337161,0.338375,11.1806,0.13794,7.55739,7.54703,3.30675,0.0499224,0.0733759,0.105599,
