Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.335703,0.335703,11.1649,0.126236,7.52935,7.55336,3.30295,0.046353,0.0688336,0.0951257,
4000,128000,0.336898,0.338094,11.1655,0.192168,7.52956,7.55368,3.30402,0.0732292,0.10143,0.14587,
6000,192000,0.337406,0.338422,11.1673,0.313696,7.53026,7.55454,3.30653,0.101152,0.158903,0.250845,
8000,256000,0.337223,0.336672,11.1674,0.123863,7.53004,7.55451,3.30741,0.045706,0.0685329,0.0925006,
10000,320000,0.338028,0.34125,11.1686,0.180524,7.53042,7.55506,3.30928,0.0630224,0.0979634,0.137915,
12000,384000,0.338383,0.340156,11.1703,0.525557,7.53111,7.55589,3.31167,0.171348,0.285898,0.40634,
14000,448000,0.338723,0.340766,11.1727,0.212301,7.53202,7.55697,3.31499,0.0800482,0.117952,0.157326,
16000,512000,0.338826,0.339547,11.1735,0.133142,7.53244,7.5575,3.3157,0.0493961,0.0705232,0.101554,
18000,576000,0.338995,0.340344,11.1756,0.490914,7.53317,7.5584,3.3189,0.158122,0.259109,0.385819,
20000,640000,0.339075,0.339797,11.177,0.173406,7.53363,7.55906,3.32126,0.0597456,0.0938806,0.132991,
22000,704000,0.338743,0.335422,11.1796,0.340765,7.53451,7.56017,3.32528,0.126296,0.189879,0.253212,
24000,768000,0.338344,0.333953,11.1818,0.474833,7.5352,7.56111,3.32912,0.163498,0.227703,0.383257,
26000,832000,0.338415,0.339266,11.1829,0.21221,7.53564,7.56168,3.33052,0.0844291,0.113577,0.15813,
28000,896000,0.338186,0.335219,11.1834,0.140545,7.53598,7.5621,3.33034,0.054827,0.0821135,0.100021,
30000,960000,0.338195,0.338313,11.1861,0.316755,7.53715,7.56346,3.33394,0.117545,0.169603,0.240317,
32000,1024000,0.338414,0.341703,11.1919,0.136639,7.53915,7.56596,3.34303,0.0477646,0.0729877,0.105174,
34000,1088000,0.338669,0.34275,11.1976,0.232851,7.54129,7.56859,3.35152,0.0865845,0.128985,0.173452,
36000,1152000,0.338787,0.340797,11.2014,0.146309,7.54262,7.57036,3.35701,0.0494337,0.0761368,0.114743,
38000,1216000,0.338994,0.342719,11.2056,0.181767,7.54397,7.57214,3.36394,0.0577483,0.094206,0.144325,
40000,1280000,0.339049,0.340094,11.2073,0.483167,7.54474,7.57317,3.36572,0.185584,0.26375,0.359785,
42000,1344000,0.339002,0.338062,11.2112,0.186549,7.54627,7.57484,3.37131,0.0750513,0.098082,0.139813,
44000,1408000,0.338811,0.334797,11.2175,0.326947,7.5484,7.57761,3.38145,0.122006,0.171907,0.249915,
46000,1472000,0.338678,0.33575,11.2197,0.37996,7.54945,7.57873,3.3838,0.122984,0.199425,0.299123,
48000,1536000,0.338721,0.339703,11.2253,0.201009,7.55177,7.58139,3.39118,0.0710108,0.0975166,0.160787,
50000,1600000,0.338707,0.338375,11.231,1.16183,7.55399,7.58403,3.39937,0.393133,0.61631,0.903021,
52000,1664000,0.338641,0.336984,11.2305,0.192537,7.55422,7.58406,3.39702,0.0683489,0.0980746,0.150931,
54000,1728000,0.33859,0.337281,11.2388,0.180794,7.55758,7.58802,3.40827,0.0667257,0.0977659,0.13666,
56000,1792000,0.338672,0.340891,11.2392,0.155506,7.55824,7.58856,3.40695,0.0620287,0.0859827,0.113761,
58000,1856000,0.338395,0.330641,11.2465,0.317207,7.56117,7.59193,3.41699,0.13157,0.17024,0.233083,
60000,1920000,0.338437,0.339656,11.2513,0.254768,7.56352,7.59443,3.42205,0.0839914,0.130533,0.202023,
62000,1984000,0.338669,0.345609,11.2545,0.134217,7.56527,7.5961,3.42501,0.0486591,0.0726183,0.101848,
64000,2048000,0.338629,0.337391,11.2626,0.200925,7.5686,7.59999,3.43565,0.0819926,0.112712,0.144721,
66000,2112000,0.338669,0.339938,11.2702,0.184173,7.57183,7.60343,3.44555,0.0708783,0.0951899,0.140836,
