Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.0005

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.338094,0.338094,11.0785,0.215845,7.4732,7.5012,3.25814,0.0845912,0.11717,0.160327,
4000,128000,0.337758,0.337422,11.0785,0.119942,7.47311,7.50125,3.25853,0.040767,0.0662566,0.0912924,
6000,192000,0.338057,0.338656,11.0792,0.163514,7.47328,7.50158,3.25966,0.0577868,0.0863129,0.126283,
8000,256000,0.337074,0.334125,11.0806,0.285816,7.47366,7.50215,3.26229,0.0954879,0.15737,0.218649,
10000,320000,0.337369,0.338547,11.0818,0.26034,7.47397,7.50264,3.26427,0.0740607,0.126253,0.215295,
12000,384000,0.337969,0.340969,11.0845,0.122489,7.47503,7.50391,3.26838,0.0422388,0.0625141,0.0964951,
14000,448000,0.337853,0.337156,11.0855,0.26194,7.47542,7.50441,3.26955,0.0922572,0.137525,0.202949,
16000,512000,0.338059,0.3395,11.087,0.204995,7.476,7.50511,3.27172,0.0684141,0.108652,0.159804,
18000,576000,0.338451,0.341594,11.0886,0.196777,7.47658,7.5059,3.27415,0.0734063,0.107442,0.147611,
20000,640000,0.338125,0.335187,11.0919,0.280042,7.47783,7.50744,3.27898,0.119907,0.155055,0.200009,
22000,704000,0.337884,0.335469,11.0923,0.15013,7.47803,7.50769,3.27907,0.0590568,0.0849292,0.108804,
24000,768000,0.337785,0.336703,11.0952,0.16886,7.47944,7.50921,3.2823,0.061647,0.0913669,0.127928,
26000,832000,0.337684,0.336469,11.0975,0.419873,7.48045,7.51042,3.28502,0.152868,0.245528,0.304369,
28000,896000,0.3379,0.340703,11.1015,0.199279,7.48208,7.51236,3.29036,0.0622837,0.108683,0.154987,
30000,960000,0.338002,0.339438,11.1028,0.27248,7.48268,7.5131,3.2918,0.0908296,0.145428,0.21177,
32000,1024000,0.338281,0.342469,11.1069,0.2672,7.48422,7.51498,3.29772,0.0843221,0.133153,0.215768,
34000,1088000,0.338194,0.336797,11.1108,0.177449,7.48569,7.51676,3.30326,0.0527273,0.0892864,0.143999,
36000,1152000,0.338359,0.341156,11.1149,0.138565,7.48727,7.51865,3.30922,0.0442307,0.0737432,0.108655,
38000,1216000,0.338617,0.343266,11.1195,0.357844,7.48914,7.52077,3.31561,0.129828,0.202682,0.264796,
40000,1280000,0.338703,0.340344,11.1207,0.165799,7.48992,7.52159,3.3162,0.0501703,0.0840052,0.133849,
42000,1344000,0.338796,0.340656,11.1241,0.177722,7.49161,7.52341,3.31967,0.0636364,0.0908838,0.138836,
44000,1408000,0.338658,0.335766,11.13,0.36963,7.49391,7.52601,3.32813,0.149753,0.204484,0.269047,
46000,1472000,0.338469,0.334297,11.1356,0.327752,7.49631,7.52862,3.33568,0.10077,0.171253,0.260652,
48000,1536000,0.338652,0.342859,11.1418,0.280282,7.49893,7.53158,3.34385,0.103265,0.152354,0.211382,
50000,1600000,0.338533,0.335672,11.1498,0.226283,7.50227,7.53534,3.35457,0.0750229,0.123981,0.173794,
52000,1664000,0.338558,0.339203,11.1572,0.255372,7.50543,7.53888,3.36405,0.0872888,0.140539,0.194536,
54000,1728000,0.338431,0.335109,11.1597,0.352996,7.50695,7.54041,3.36547,0.1294,0.186971,0.270007,
56000,1792000,0.338709,0.346219,11.1634,0.238273,7.509,7.54259,3.36844,0.0730992,0.123203,0.190398,
58000,1856000,0.338578,0.334906,11.1708,0.156263,7.51208,7.54605,3.3783,0.0603241,0.0878115,0.114316,
60000,1920000,0.338616,0.339734,11.1783,0.241338,7.51565,7.54985,3.3865,0.0768432,0.126821,0.190409,
62000,1984000,0.338599,0.338078,11.1894,0.205212,7.52042,7.55517,3.4007,0.072593,0.110246,0.157125,
64000,2048000,0.338396,0.332109,11.1943,0.464293,7.52293,7.55775,3.40569,0.145367,0.249625,0.363488,
66000,2112000,0.338352,0.336953,11.207,0.340274,7.52845,7.56385,3.42151,0.125708,0.182953,0.257899,
68000,2176000,0.338419,0.340609,11.2161,0.180036,7.53253,7.56836,3.43251,0.0588963,0.0925167,0.142775,
70000,2240000,0.33839,0.337422,11.2229,0.327797,7.53636,7.572,3.43817,0.117629,0.171728,0.253227,
72000,2304000,0.338397,0.338641,11.235,0.22985,7.54208,7.578,3.45182,0.0880628,0.125599,0.171175,
74000,2368000,0.338488,0.341766,11.2443,0.427124,7.54637,7.58263,3.4628,0.16588,0.222653,0.324568,
76000,2432000,0.338544,0.340594,11.2547,0.207661,7.55117,7.5878,3.47475,0.0723909,0.106865,0.162673,
78000,2496000,0.338592,0.340438,11.2671,0.336803,7.55713,7.59393,3.48858,0.116095,0.167,0.268457,
80000,2560000,0.338657,0.341172,11.2829,0.293683,7.5644,7.60169,3.50677,0.127083,0.159322,0.211462,
82000,2624000,0.338603,0.336453,11.3066,0.683241,7.57499,7.61311,3.53534,0.332263,0.36258,0.474295,
84000,2688000,0.338723,0.343656,11.3268,0.552905,7.58426,7.623,3.55896,0.201583,0.294521,0.422287,
86000,2752000,0.338648,0.335484,11.3456,0.187365,7.59344,7.63232,3.57899,0.0944552,0.0979762,0.12878,
