Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.01

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.341437,0.341437,11.1545,0.176184,7.55377,7.51377,3.30248,0.0550097,0.0931907,0.139033,
4000,128000,0.341445,0.341453,11.1544,0.14769,7.55358,7.5137,3.30295,0.0469548,0.0767579,0.117114,
6000,192000,0.34049,0.338578,11.1557,0.224534,7.55409,7.51433,3.30474,0.0836162,0.119755,0.170537,
8000,256000,0.341113,0.342984,11.1573,0.272796,7.55469,7.51509,3.30675,0.0808844,0.134961,0.222847,
10000,320000,0.340256,0.336828,11.1579,0.232323,7.55491,7.51544,3.30759,0.0818761,0.126767,0.176637,
12000,384000,0.33969,0.336859,11.1583,0.46797,7.5549,7.51556,3.30854,0.159214,0.237868,0.370224,
14000,448000,0.339444,0.337969,11.1613,0.223132,7.55628,7.51706,3.31217,0.0766309,0.123547,0.169268,
16000,512000,0.339094,0.336641,11.1633,0.193571,7.5571,7.51804,3.31504,0.0591248,0.104201,0.15204,
18000,576000,0.338269,0.331672,11.1656,0.157229,7.55811,7.51918,3.31793,0.0549086,0.0860137,0.119615,
20000,640000,0.338303,0.338609,11.1693,0.132888,7.55951,7.52084,3.3234,0.0462221,0.0695974,0.10334,
22000,704000,0.338097,0.336031,11.1712,0.168229,7.56016,7.52166,3.32637,0.0559892,0.0878759,0.132076,
24000,768000,0.338076,0.337844,11.1744,0.140243,7.56142,7.52314,3.33072,0.0518224,0.0756433,0.106116,
26000,832000,0.338315,0.341188,11.1777,0.140069,7.56272,7.52469,3.33554,0.048243,0.0745958,0.108293,
28000,896000,0.338133,0.335766,11.1809,0.328404,7.56408,7.52622,3.33979,0.119361,0.175949,0.250288,
30000,960000,0.338019,0.336422,11.1833,0.163069,7.56514,7.52742,3.34243,0.0535314,0.086713,0.127306,
32000,1024000,0.338364,0.343547,11.1838,0.223697,7.56518,7.52763,3.34358,0.08764,0.122421,0.165447,
34000,1088000,0.337935,0.331062,11.1879,0.21645,7.56679,7.52947,3.34972,0.068834,0.108249,0.174341,
36000,1152000,0.337832,0.336094,11.1891,0.214546,7.56749,7.53024,3.35017,0.0637485,0.110046,0.172788,
38000,1216000,0.337729,0.335859,11.1943,0.205565,7.56929,7.53248,3.35856,0.069529,0.0979554,0.166815,
40000,1280000,0.337677,0.336703,11.1973,0.183171,7.57042,7.53384,3.36286,0.0726913,0.105282,0.131085,
42000,1344000,0.337692,0.337984,11.2018,0.173405,7.572,7.53574,3.37002,0.0676959,0.0967911,0.126957,
44000,1408000,0.338026,0.345031,11.2083,0.492708,7.57457,7.53866,3.37931,0.157333,0.265315,0.384207,
46000,1472000,0.338086,0.339422,11.2092,0.342185,7.57533,7.53947,3.37903,0.11898,0.177169,0.26748,
48000,1536000,0.338284,0.342828,11.2152,0.573041,7.57775,7.54222,3.38709,0.189001,0.30629,0.445916,
50000,1600000,0.338249,0.337406,11.2204,0.459787,7.58008,7.54477,3.39365,0.173875,0.243,0.349461,
52000,1664000,0.338441,0.343234,11.2274,0.219871,7.58294,7.54804,3.40315,0.0790528,0.113424,0.170965,
54000,1728000,0.33833,0.335453,11.2337,0.215563,7.5856,7.55097,3.41135,0.0816882,0.114389,0.163431,
56000,1792000,0.338486,0.342703,11.2411,0.210813,7.58883,7.55448,3.42068,0.0831616,0.119987,0.152084,
58000,1856000,0.338616,0.342266,11.2483,0.231285,7.592,7.55805,3.42949,0.0788961,0.118858,0.182046,
60000,1920000,0.338509,0.335391,11.2552,0.415861,7.59494,7.56128,3.43865,0.144926,0.219282,0.322261,
62000,1984000,0.338514,0.338672,11.2632,0.296267,7.59835,7.56506,3.44871,0.10662,0.1622,0.223824,
64000,2048000,0.338506,0.33825,11.274,0.178383,7.60274,7.57015,3.46318,0.0595717,0.0948834,0.138813,
66000,2112000,0.338551,0.339984,11.2805,0.161964,7.60579,7.57348,3.47056,0.0544513,0.081959,0.128647,
68000,2176000,0.338501,0.336859,11.2906,0.1762,7.61017,7.57831,3.48299,0.0639017,0.0874163,0.139002,
70000,2240000,0.338476,0.337625,11.2991,0.281007,7.61432,7.58279,3.49198,0.0933359,0.140591,0.224695,
72000,2304000,0.338486,0.338828,11.3103,0.278411,7.61928,7.58825,3.50556,0.0945027,0.14689,0.216807,
74000,2368000,0.338508,0.339297,11.3299,0.280632,7.62748,7.59752,3.53071,0.107486,0.144371,0.21531,
76000,2432000,0.338565,0.340688,11.3473,0.496865,7.63478,7.60582,3.55273,0.185503,0.244053,0.391026,
78000,2496000,0.338813,0.348234,11.3626,0.736752,7.64131,7.61319,3.572,0.275431,0.370019,0.57448,
80000,2560000,0.338883,0.341609,11.3817,0.497839,7.65002,7.62279,3.59363,0.196369,0.270786,0.368725,
